device_type,phase,op,duration
npu,decode,FFN_W1,6.799386214399084
npu,decode,FFN_W2,6.799386214399084
npu,decode,FFN_W3,6.799386214399084
npu,decode,O,2.5300101323946556
npu,decode,K,0.111014873837632
npu,decode,V,0.10981378679742942
npu,decode,Q,0.10883845401088905
npu,decode,SV,0.012167790441589332
npu,decode,QK,0.002095580624390969
npu,decode,LN,0.0006917937327349868
npu,decode,K_write,5.200000360083835e-06
npu,prefill,FFN_W3,1.3473505362934073
npu,prefill,K,0.5000763735030311
npu,prefill,V,0.5000763735030311
npu,prefill,SwiGLU,0.0422707200000005
npu,prefill,Add,0.0314572800000001
npu,prefill,LN,0.020971519999992902
npu,prefill,Identity,0.0101580799999967
npu,prefill,K_read,0.0
npu,prefill,V_read,0.0
pim,decode,Q,0.7689412900041612
pim,decode,V,0.03673748000393573
pim,decode,K,0.036719248003935334
pim,decode,QK,0.0323769599974435
pim,decode,Softmax,0.022449952004592433
pim,decode,LN,0.006819455977575231
pim,decode,SwiGLU,0.006125600009568188
pim,decode,Add,0.0032073599675186415
pim,decode,SV,0.0012739199999947104
pim,decode,Identity,0.0010316799972542867
pim,decode,K_read,0.0
pim,decode,K_write,0.0
pim,decode,V_read,0.0
pim,decode,V_write,0.0
pim,prefill,FFN_W2,1.0052635840000017
pim,prefill,FFN_W1,1.0052165760000027
pim,prefill,O,0.3778138239999999
pim,prefill,Q,0.3778138239999999
pim,prefill,FFN_W3,0.0170528639999952
pim,prefill,K,0.0089638400000017
pim,prefill,V,0.0089638400000017
pim,prefill,QK,0.0005980159999985461
pim,prefill,SV,0.00039321600000280505
pim,prefill,Softmax,0.00022748799999660826
pim,prefill,K_read,0.0
pim,prefill,K_write,0.0
pim,prefill,V_write,0.0
