device_type,phase,op,duration
npu,prefill,FFN_W2,2.8294959561473663
npu,prefill,FFN_W1,2.694701072586822
npu,prefill,FFN_W3,2.694701072586822
npu,prefill,K,1.0001527470060534
npu,prefill,O,1.0001527470060534
npu,prefill,Q,1.0001527470060534
npu,prefill,V,1.0001527470060532
npu,prefill,Softmax,0.6170211225165314
npu,prefill,SV,0.0623661264995114
npu,prefill,SwiGLU,0.042270719999990596
npu,prefill,Add,0.0314572800000092
npu,prefill,QK,0.0262348800000025
npu,prefill,LN,0.020971519999989002
npu,prefill,Identity,0.0101580799999945
npu,prefill,K_write,0.0052428800000256
npu,prefill,V_write,0.0052428800000256
npu,prefill,K_read,0.0
npu,prefill,V_read,0.0
pim,decode,FFN_W3,63.33870816002739
pim,decode,FFN_W2,63.33345199996309
pim,decode,FFN_W1,63.33039647998601
pim,decode,K,23.468444479855552
pim,decode,O,23.468444479855552
pim,decode,Q,23.468444479855552
pim,decode,V,23.468444479855552
pim,decode,QK,0.06279168016192216
pim,decode,SV,0.04076544001941329
pim,decode,Softmax,0.022449951975584526
pim,decode,LN,0.0068723196222109095
pim,decode,SwiGLU,0.006125599844191143
pim,decode,Add,0.003207359935686327
pim,decode,Identity,0.001031680073907637
pim,decode,K_read,0.0
pim,decode,K_write,0.0
pim,decode,V_read,0.0
pim,decode,V_write,0.0
