device_type,phase,op,duration
npu,decode,FFN_W1,3.8686162943876097
npu,decode,FFN_W2,3.8686162943876097
npu,decode,FFN_W3,3.8686162943876097
npu,decode,O,1.3695870566554753
npu,decode,K,1.3495173120158828
npu,decode,V,1.3425967104152978
npu,decode,Q,0.751585653768865
npu,decode,K_read,0.00888815999998965
npu,decode,V_read,0.008381279999972449
npu,decode,Softmax,0.002748287033245145
npu,decode,LN,0.002183473968676575
npu,decode,SV,0.0001718579725122904
npu,decode,QK,0.0001384362499645686
npu,decode,Add,7.968000074898285e-05
npu,prefill,FFN_W2,0.3536869945184202
npu,prefill,FFN_W1,0.3368376340733515
npu,prefill,FFN_W3,0.3368376340733515
npu,prefill,K,0.1250190933757557
npu,prefill,O,0.1250190933757557
npu,prefill,Q,0.1250190933757557
npu,prefill,Softmax,0.0188638834377962
npu,prefill,SwiGLU,0.0052838399999985
npu,prefill,Add,0.003932160000001416
npu,prefill,V,0.0039068466679924
npu,prefill,LN,0.00345436112368725
npu,prefill,Identity,0.0012697599999994744
npu,prefill,QK,0.0009855999999999216
npu,prefill,K_read,0.0
npu,prefill,V_read,0.0
pim,decode,Q,11.215208563997475
pim,decode,V,1.5796068399996441
pim,decode,K,1.4667777799997324
pim,decode,O,1.1395735059996663
pim,decode,QK,0.026845312004112776
pim,decode,SV,0.01706833000063246
pim,decode,Softmax,0.008857054999953151
pim,decode,LN,0.006705468010316906
pim,decode,SwiGLU,0.006125600008310528
pim,decode,Add,0.003079374008350566
pim,decode,Identity,0.001031680012239411
pim,decode,K_read,0.0
pim,decode,K_write,0.0
pim,decode,V_read,0.0
pim,decode,V_write,0.0
pim,prefill,V,0.3517858300000008
pim,prefill,SV,8.960000000072035e-05
pim,prefill,Softmax,8.769999999998224e-07
pim,prefill,K_read,0.0
pim,prefill,K_write,0.0
pim,prefill,V_write,0.0
