device_type,phase,op,duration
npu,decode,KV_read,29.337671679995772
npu,decode,KV_write,15.040491519997484
npu,decode,QK,13.070654040056445
npu,decode,FFN_W1,9.547788670334093
npu,decode,SV,7.6018572799519974
npu,decode,FFN_W3,5.459416201661415
npu,decode,O,3.5710409111924797
npu,decode,FFN_W2,3.341192248517591
npu,decode,Q,2.15963553080315
npu,decode,V,0.8537016821690759
npu,decode,K,0.8507158620090767
npu,decode,Softmax,0.1341368004759653
npu,decode,SwiGLU,0.05457216000647236
npu,decode,Add,0.04216319986333161
npu,decode,LN,0.04188941729053518
npu,decode,Identity,0.003706879977471544
npu,prefill,SV,1.9957160479846
npu,prefill,SwiGLU,1.352663039999969
npu,prefill,QK,1.0072883200000262
npu,prefill,Add,1.0066329599999515
npu,prefill,LN,0.6710886400000736
npu,prefill,KV_read,0.6710886400000465
npu,prefill,Identity,0.32505856000003597
npu,prefill,KV_write,0.3145728000000495
pim,decode,KV_write,28.31368191999005
pim,decode,FFN_W1,26.910811310018918
pim,decode,FFN_W3,26.011482931841748
pim,decode,FFN_W2,21.134710157235247
pim,decode,SV,14.252882896030053
pim,decode,O,9.988119752055105
pim,decode,QK,5.493253696084124
pim,decode,KV_read,5.438193664
pim,decode,Q,5.112816212141423
pim,decode,K,3.8645716202312035
pim,decode,V,3.8532728422311995
pim,decode,Softmax,0.4162664890699357
pim,decode,LN,0.05339562836704233
pim,decode,SwiGLU,0.050732182015053695
pim,decode,Add,0.03477928489542137
pim,decode,Identity,0.027082752150768385
pim,prefill,Softmax,2.1498082880000187
pim,prefill,FFN_W3,1.9642671999999943
pim,prefill,FFN_W2,1.9641863360000018
pim,prefill,FFN_W1,1.9641393279999322
pim,prefill,K,0.8979075199999886
pim,prefill,Q,0.8979075199999886
pim,prefill,V,0.8979075199999886
pim,prefill,O,0.8979075199999881
pim,prefill,KV_write,0.5704253440000425
