device_type,phase,op,duration
npu,decode,Add,0.06077951983801455
npu,decode,FFN_W1,16.14930032645924
npu,decode,FFN_W2,2.873706830497312
npu,decode,FFN_W3,2.726279600862529
npu,decode,K,1.0157801337346049
npu,decode,KV_read,13.652459520008806
npu,decode,KV_write,6.810214400004412
npu,decode,LN,0.0362439432904592
npu,decode,O,5.912143970508843
npu,decode,Q,1.2880037453154323
npu,decode,QK,6.879476480074077
npu,decode,SV,0.2453433200023059
npu,decode,SwiGLU,0.08573856000970181
npu,decode,V,1.0157801337346049
npu,prefill,Add,0.1218969599999923
npu,prefill,Identity,0.0393216000000033
npu,prefill,KV_read,0.083886080000005
npu,prefill,KV_write,0.0367001600000056
npu,prefill,LN,0.0812646400000066
npu,prefill,QK,0.0525107199999919
npu,prefill,SV,0.050869759999992
npu,prefill,SwiGLU,0.1637990399999967
pim,decode,Add,0.00498953700066096
pim,decode,FFN_W1,1.1292000899982348
pim,decode,FFN_W2,0.13190215989328635
pim,decode,FFN_W3,0.3778573439194016
pim,decode,Identity,0.033013759984660496
pim,decode,K,0.05442944004829542
pim,decode,KV_write,10.947592192005189
pim,decode,LN,0.05602422816141257
pim,decode,O,0.713000573995161
pim,decode,Q,0.05157712804677317
pim,decode,SV,10.632354837989576
pim,decode,Softmax,0.17980624002980683
pim,decode,SwiGLU,0.00020078699935766053
pim,decode,V,0.05442944004829542
pim,prefill,Add,0.0062914619999999005
pim,prefill,FFN_W1,1.0980155519999957
pim,prefill,FFN_W2,1.098062559999991
pim,prefill,FFN_W3,1.0981434239999968
pim,prefill,Identity,0.0020971519999999
pim,prefill,K,0.4281454720000033
pim,prefill,KV_write,0.07549747200000541
pim,prefill,LN,0.004196584
pim,prefill,O,0.4281454720000034
pim,prefill,Q,0.4281454720000034
pim,prefill,SV,0.002628336
pim,prefill,Softmax,0.033844640000002604
pim,prefill,SwiGLU,0.008455025
pim,prefill,V,0.42814547200000347
