phase,start,end,duration,npu_active,pim_active,comm_active,label
prefill,0.0,5.033538480718085e-05,5.033538480718085e-05,1,0,0,NPU_only
prefill,0.0001906455181405142,0.0012302431743905144,0.0010395976562500003,0,0,1,COMM_only
prefill,0.001510663441057181,0.002096312122697806,0.0005856486816406248,0,1,1,PIM+COMM
prefill,0.002096312122697806,0.0023292987115120962,0.00023298658881429042,0,1,0,PIM_only
prefill,0.0023767323893644724,0.0029623810710050977,0.0005856486816406253,0,1,1,PIM+COMM
prefill,0.0029623810710050977,0.0031953676598193877,0.00023298658881429,0,1,0,PIM_only
prefill,0.0032428013376717643,0.0038284500193123895,0.0005856486816406253,0,1,1,PIM+COMM
prefill,0.0038284500193123895,0.004108870285979056,0.0002804202666666666,0,1,0,PIM_only
prefill,0.004108870285979056,0.004694518967619681,0.0005856486816406253,0,1,1,PIM+COMM
prefill,0.004694518967619681,0.004974939234286348,0.000280420266666667,0,1,0,PIM_only
prefill,0.004974939234286348,0.005560587915926974,0.0005856486816406253,0,1,1,PIM+COMM
prefill,0.005560587915926974,0.00584100818259364,0.00028042026666666615,0,1,0,PIM_only
prefill,0.00584100818259364,0.006301957157203016,0.00046094897460937593,0,1,1,PIM+COMM
prefill,0.006301957157203016,0.00641947160812668,0.00011751445092366385,0,1,0,PIM_only
prefill,0.00641947160812668,0.006485321461642305,6.584985351562513e-05,0,1,1,PIM+COMM
prefill,0.006485321461642305,0.006997318381824596,0.0005119969201822913,0,1,0,PIM_only
prefill,0.006997318381824596,0.007063168235340221,6.584985351562513e-05,0,1,1,PIM+COMM
prefill,0.007063168235340221,0.015942565453048552,0.008879397217708331,0,1,0,PIM_only
prefill,0.015942565453048552,0.01600841530656418,6.5849853515626e-05,0,1,1,PIM+COMM
prefill,0.01600841530656418,0.01676766872350347,0.00075925341693929,0,1,0,PIM_only
prefill,0.01676766872350347,0.016833518577019094,6.5849853515626e-05,0,1,1,PIM+COMM
prefill,0.016833518577019094,0.017592771993958384,0.00075925341693929,0,1,0,PIM_only
prefill,0.017592771993958384,0.019395519414716417,0.001802747420758033,1,0,1,NPU+COMM
prefill,0.019395519414716417,0.01945210464588275,5.658523116633396e-05,0,0,1,COMM_only
prefill,0.022729845414716416,0.023776443070966425,0.001046597656250009,0,0,1,COMM_only
prefill,0.02390975320429975,0.02403305690090581,0.00012330369660605925,1,0,0,NPU_only
prefill,0.02403305690090581,0.024208340882229052,0.0001752839813232432,1,0,1,NPU+COMM
prefill,0.024208340882229052,0.16208651356366513,0.13787817268143607,1,0,0,NPU_only
prefill,0.16208651356366513,0.16226179754498837,0.0001752839813232432,1,0,1,NPU+COMM
prefill,0.16226179754498837,0.30013997022642447,0.1378781726814361,1,0,0,NPU_only
prefill,0.30013997022642447,0.3003152542077477,0.00017528398132321543,1,0,1,NPU+COMM
prefill,0.3003152542077477,0.4381934268891838,0.1378781726814361,1,0,0,NPU_only
prefill,0.4381934268891838,0.438368710870507,0.00017528398132321543,1,0,1,NPU+COMM
prefill,0.438368710870507,0.5762468835519431,0.1378781726814361,1,0,0,NPU_only
prefill,0.5762468835519431,0.5764221675332664,0.00017528398132327094,1,0,1,NPU+COMM
prefill,0.5764221675332664,0.7143003402147023,0.13787817268143598,1,0,0,NPU_only
prefill,0.7143003402147023,0.7144756241960256,0.00017528398132327094,1,0,1,NPU+COMM
prefill,0.7144756241960256,0.8523537968774617,0.1378781726814361,1,0,0,NPU_only
prefill,0.8523537968774617,0.852529080858785,0.00017528398132327094,1,0,1,NPU+COMM
prefill,0.852529080858785,0.9904072535402211,0.1378781726814361,1,0,0,NPU_only
prefill,0.9904072535402211,0.9905825375215443,0.00017528398132327094,1,0,1,NPU+COMM
prefill,0.9905825375215443,1.1284607102029804,0.1378781726814361,1,0,0,NPU_only
prefill,1.1284607102029804,1.1286359941843036,0.00017528398132315992,1,0,1,NPU+COMM
prefill,1.1286359941843036,1.2665141668657398,0.1378781726814362,1,0,0,NPU_only
