phase,start,end,duration,npu_active,pim_active,comm_active,label
prefill,0.0,3.2213486328125e-06,3.2213486328125e-06,0,1,0,PIM_only
prefill,3.2213486328125e-06,6.907120214843749e-05,6.5849853515625e-05,0,1,1,PIM+COMM
prefill,6.907120214843749e-05,0.000821856619087728,0.0007527854169392904,0,1,0,PIM_only
prefill,0.000821856619087728,0.000887706472603353,6.584985351562502e-05,0,1,1,PIM+COMM
prefill,0.000887706472603353,0.0016404918895426435,0.0007527854169392906,0,1,0,PIM_only
prefill,0.0016404918895426435,0.0017063417430582685,6.584985351562492e-05,0,1,1,PIM+COMM
prefill,0.0017063417430582685,0.0024655951599975587,0.0007592534169392903,0,1,0,PIM_only
prefill,0.0024655951599975587,0.002531445013513184,6.584985351562513e-05,0,1,1,PIM+COMM
prefill,0.002531445013513184,0.003290698430452474,0.00075925341693929,0,1,0,PIM_only
prefill,0.003290698430452474,0.003356548283968099,6.584985351562513e-05,0,1,1,PIM+COMM
prefill,0.003356548283968099,0.003617967615299479,0.00026141933133138,0,1,0,PIM_only
prefill,0.003617967615299479,0.004657565271549479,0.0010395976562499998,0,1,1,PIM+COMM
prefill,0.004657565271549479,0.004937985538216146,0.000280420266666667,0,1,0,PIM_only
prefill,0.004937985538216146,0.005523634219856771,0.0005856486816406253,0,1,1,PIM+COMM
prefill,0.005523634219856771,0.005804054486523437,0.00028042026666666615,0,1,0,PIM_only
prefill,0.005804054486523437,0.006389703168164063,0.0005856486816406253,0,1,1,PIM+COMM
prefill,0.006389703168164063,0.006670123434830729,0.00028042026666666615,0,1,0,PIM_only
prefill,0.006670123434830729,0.006735973288346354,6.584985351562513e-05,0,1,1,PIM+COMM
prefill,0.006735973288346354,0.00675948139711647,2.3508108770116387e-05,0,1,0,PIM_only
prefill,0.00675948139711647,0.006825331250632095,6.584985351562513e-05,0,1,1,PIM+COMM
prefill,0.006825331250632095,0.006861083783965429,3.575253333333323e-05,0,1,0,PIM_only
prefill,0.006861083783965429,0.006926933637481054,6.584985351562513e-05,0,1,1,PIM+COMM
prefill,0.006926933637481054,0.006962686170814387,3.575253333333323e-05,0,1,0,PIM_only
prefill,0.006962686170814387,0.007028536024330012,6.584985351562513e-05,0,1,1,PIM+COMM
prefill,0.007028536024330012,0.007064288557663345,3.575253333333323e-05,0,1,0,PIM_only
prefill,0.007064288557663345,0.0071301384111789705,6.584985351562513e-05,0,1,1,PIM+COMM
prefill,0.0071301384111789705,0.007524511238618977,0.00039437282744000674,0,1,0,PIM_only
prefill,0.007524511238618977,0.007590361092134602,6.584985351562513e-05,0,1,1,PIM+COMM
prefill,0.007590361092134602,0.007626113625467936,3.575253333333323e-05,0,1,0,PIM_only
prefill,0.007626113625467936,0.007691963478983561,6.584985351562513e-05,0,1,1,PIM+COMM
prefill,0.007691963478983561,0.007764740154739062,7.277667575550113e-05,0,1,0,PIM_only
prefill,0.007764740154739062,0.007830590008254687,6.584985351562513e-05,0,1,1,PIM+COMM
prefill,0.007830590008254687,0.008589843425193977,0.00075925341693929,0,1,0,PIM_only
prefill,0.008589843425193977,0.010392590845951968,0.0018027474207579913,1,0,1,NPU+COMM
prefill,0.010392590845951968,0.010398676217534,6.085371582031929e-06,0,1,0,PIM_only
prefill,0.010398676217534,0.010573960198857242,0.00017528398132324145,0,1,1,PIM+COMM
prefill,0.010573960198857242,0.012787073181472649,0.002213112982615407,0,1,0,PIM_only
prefill,0.012787073181472649,0.01296235716279589,0.00017528398132324145,0,1,1,PIM+COMM
prefill,0.01296235716279589,0.014013422484200667,0.0010510653214047764,0,1,0,PIM_only
prefill,0.014013422484200667,0.015053020140450665,0.0010395976562499985,0,1,1,PIM+COMM
prefill,0.015053020140450665,0.015176920270308302,0.0001239001298576365,0,1,0,PIM_only
prefill,0.015176920270308302,0.016028523216565574,0.0008516029462572721,0,1,1,PIM+COMM
prefill,0.016028523216565574,0.017721837371055982,0.001693314154490408,0,1,0,PIM_only
