phase,start,end,duration,npu_active,pim_active,comm_active,label
prefill,0.0,5.033538480718085e-05,5.033538480718085e-05,1,0,0,NPU_only
prefill,5.033538480718085e-05,0.00011618523832280584,6.5849853515625e-05,1,0,1,NPU+COMM
prefill,0.00011618523832280584,0.05142479585588841,0.05130861061756561,1,0,0,NPU_only
prefill,0.05142479585588841,0.05157447182958633,0.00014967597369791585,1,0,1,NPU+COMM
prefill,0.05157447182958633,0.051610224362919656,3.5752533333328895e-05,1,0,0,NPU_only
prefill,0.051610224362919656,0.052753554362919654,0.001143329999999998,1,1,0,NPU+PIM
prefill,0.052753554362919654,0.05313466436291965,0.000381109999999997,1,0,0,NPU_only
prefill,0.05313466436291965,0.05320051421643528,6.5849853515626e-05,1,0,1,NPU+COMM
prefill,0.05320051421643528,0.10279925632696964,0.04959874211053436,1,0,0,NPU_only
prefill,0.10279925632696964,0.10294893230066755,0.00014967597369791585,1,0,1,NPU+COMM
prefill,0.10294893230066755,0.10298468483400089,3.5752533333335834e-05,1,0,0,NPU_only
prefill,0.10298468483400089,0.10412801483400089,0.001143329999999998,1,1,0,NPU+PIM
prefill,0.10412801483400089,0.10450912483400089,0.00038111000000000395,1,0,0,NPU_only
prefill,0.10450912483400089,0.10457497468751652,6.5849853515626e-05,1,0,1,NPU+COMM
prefill,0.10457497468751652,0.15417371679805086,0.04959874211053435,1,0,0,NPU_only
prefill,0.15417371679805086,0.15432339277174878,0.00014967597369791585,1,0,1,NPU+COMM
prefill,0.15432339277174878,0.1543591453050821,3.5752533333321956e-05,1,0,0,NPU_only
prefill,0.1543591453050821,0.1555024753050821,0.001143329999999998,1,1,0,NPU+PIM
prefill,0.1555024753050821,0.1558835853050821,0.00038110999999999007,1,0,0,NPU_only
prefill,0.1558835853050821,0.15594943515859772,6.5849853515626e-05,1,0,1,NPU+COMM
prefill,0.15594943515859772,0.2055481772691321,0.04959874211053439,1,0,0,NPU_only
prefill,0.2055481772691321,0.20569785324283002,0.00014967597369791585,1,0,1,NPU+COMM
prefill,0.20569785324283002,0.20573360577616334,3.5752533333321956e-05,1,0,0,NPU_only
prefill,0.20573360577616334,0.20687693577616334,0.001143329999999998,1,1,0,NPU+PIM
prefill,0.20687693577616334,0.20725804577616333,0.00038110999999999007,1,0,0,NPU_only
prefill,0.20725804577616333,0.20732389562967896,6.5849853515626e-05,1,0,1,NPU+COMM
prefill,0.20732389562967896,0.25692263774021334,0.04959874211053439,1,0,0,NPU_only
prefill,0.25692263774021334,0.2570723137139112,0.00014967597369786034,1,0,1,NPU+COMM
prefill,0.2570723137139112,0.2571080662472446,3.575253333337747e-05,1,0,0,NPU_only
prefill,0.2571080662472446,0.2582513962472446,0.001143329999999998,1,1,0,NPU+PIM
prefill,0.2582513962472446,0.2586325062472446,0.0003811100000000178,1,0,0,NPU_only
prefill,0.2586325062472446,0.2586983561007602,6.584985351559824e-05,1,0,1,NPU+COMM
prefill,0.2586983561007602,0.3082970982112946,0.04959874211053439,1,0,0,NPU_only
prefill,0.3082970982112946,0.30844677418499244,0.00014967597369786034,1,0,1,NPU+COMM
prefill,0.30844677418499244,0.3084825267183258,3.575253333337747e-05,1,0,0,NPU_only
prefill,0.3084825267183258,0.3096258567183258,0.001143329999999998,1,1,0,NPU+PIM
prefill,0.3096258567183258,0.31000696671832584,0.0003811100000000178,1,0,0,NPU_only
prefill,0.31000696671832584,0.31007281657184144,6.584985351559824e-05,1,0,1,NPU+COMM
prefill,0.31007281657184144,0.3596715586823758,0.04959874211053439,1,0,0,NPU_only
prefill,0.3596715586823758,0.3598212346560737,0.00014967597369786034,1,0,1,NPU+COMM
prefill,0.3598212346560737,0.35985698718940706,3.575253333337747e-05,1,0,0,NPU_only
prefill,0.35985698718940706,0.36100031718940706,0.001143329999999998,1,1,0,NPU+PIM
prefill,0.36100031718940706,0.3613814271894071,0.0003811100000000178,1,0,0,NPU_only
prefill,0.3613814271894071,0.3614472770429227,6.584985351559824e-05,1,0,1,NPU+COMM
prefill,0.3614472770429227,0.41104601915345707,0.04959874211053439,1,0,0,NPU_only
prefill,0.41104601915345707,0.4111956951271549,0.00014967597369786034,1,0,1,NPU+COMM
prefill,0.4111956951271549,0.4112314476604883,3.575253333337747e-05,1,0,0,NPU_only
prefill,0.4112314476604883,0.4123747776604883,0.001143329999999998,1,1,0,NPU+PIM
prefill,0.4123747776604883,0.4127558876604883,0.0003811100000000178,1,0,0,NPU_only
prefill,0.4127558876604883,0.4128217375140039,6.584985351559824e-05,1,0,1,NPU+COMM
prefill,0.4128217375140039,0.4624204796245383,0.04959874211053439,1,0,0,NPU_only
prefill,0.4624204796245383,0.46257015559823617,0.00014967597369786034,1,0,1,NPU+COMM
prefill,0.46257015559823617,0.46260590813156954,3.575253333337747e-05,1,0,0,NPU_only
prefill,0.46260590813156954,0.46374923813156954,0.001143329999999998,1,1,0,NPU+PIM
prefill,0.46374923813156954,0.46413034813156956,0.0003811100000000178,1,0,0,NPU_only
prefill,0.46413034813156956,0.46419619798508516,6.584985351559824e-05,1,0,1,NPU+COMM
prefill,0.46419619798508516,0.5137949400956195,0.04959874211053439,1,0,0,NPU_only
prefill,0.5137949400956195,0.5139446160693175,0.00014967597369797137,1,0,1,NPU+COMM
prefill,0.5139446160693175,0.5139803686026508,3.5752533333321956e-05,1,0,0,NPU_only
prefill,0.5139803686026508,0.5151236986026508,0.001143329999999998,1,1,0,NPU+PIM
prefill,0.5151236986026508,0.5155048086026508,0.0003811099999999623,1,0,0,NPU_only
prefill,0.5155048086026508,0.5155706584561665,6.584985351565376e-05,1,0,1,NPU+COMM
prefill,0.5155706584561665,0.5651694005667008,0.04959874211053439,1,0,0,NPU_only
prefill,0.5651694005667008,0.5653190765403988,0.00014967597369797137,1,0,1,NPU+COMM
prefill,0.5653190765403988,0.5653548290737321,3.5752533333321956e-05,1,0,0,NPU_only
prefill,0.5653548290737321,0.5664981590737321,0.001143329999999998,1,1,0,NPU+PIM
prefill,0.5664981590737321,0.5668792690737321,0.0003811099999999623,1,0,0,NPU_only
prefill,0.5668792690737321,0.5669451189272477,6.584985351565376e-05,1,0,1,NPU+COMM
prefill,0.5669451189272477,0.6165438610377821,0.04959874211053439,1,0,0,NPU_only
prefill,0.6165438610377821,0.6166935370114801,0.00014967597369797137,1,0,1,NPU+COMM
prefill,0.6166935370114801,0.6167292895448134,3.5752533333321956e-05,1,0,0,NPU_only
prefill,0.6167292895448134,0.6178726195448134,0.001143329999999998,1,1,0,NPU+PIM
prefill,0.6178726195448134,0.6182537295448134,0.0003811099999999623,1,0,0,NPU_only
prefill,0.6182537295448134,0.618319579398329,6.584985351565376e-05,1,0,1,NPU+COMM
prefill,0.618319579398329,0.6679183215088634,0.04959874211053439,1,0,0,NPU_only
prefill,0.6679183215088634,0.6680679974825614,0.00014967597369797137,1,0,1,NPU+COMM
prefill,0.6680679974825614,0.6681037500158947,3.5752533333321956e-05,1,0,0,NPU_only
prefill,0.6681037500158947,0.6692470800158947,0.001143329999999998,1,1,0,NPU+PIM
prefill,0.6692470800158947,0.6696281900158947,0.0003811099999999623,1,0,0,NPU_only
prefill,0.6696281900158947,0.6696940398694103,6.584985351565376e-05,1,0,1,NPU+COMM
prefill,0.6696940398694103,0.7192927819799447,0.04959874211053439,1,0,0,NPU_only
prefill,0.7192927819799447,0.7194424579536427,0.00014967597369797137,1,0,1,NPU+COMM
prefill,0.7194424579536427,0.719478210486976,3.5752533333321956e-05,1,0,0,NPU_only
prefill,0.719478210486976,0.720621540486976,0.001143329999999998,1,1,0,NPU+PIM
prefill,0.720621540486976,0.721002650486976,0.0003811099999999623,1,0,0,NPU_only
prefill,0.721002650486976,0.7210685003404916,6.584985351565376e-05,1,0,1,NPU+COMM
prefill,0.7210685003404916,0.770667242451026,0.04959874211053439,1,0,0,NPU_only
prefill,0.770667242451026,0.770816918424724,0.00014967597369797137,1,0,1,NPU+COMM
prefill,0.770816918424724,0.7708526709580573,3.5752533333321956e-05,1,0,0,NPU_only
prefill,0.7708526709580573,0.7719960009580573,0.001143329999999998,1,1,0,NPU+PIM
prefill,0.7719960009580573,0.7723771109580573,0.0003811099999999623,1,0,0,NPU_only
prefill,0.7723771109580573,0.7724429608115729,6.584985351565376e-05,1,0,1,NPU+COMM
prefill,0.7724429608115729,0.8220417029221073,0.04959874211053439,1,0,0,NPU_only
prefill,0.8220417029221073,0.8221913788958053,0.00014967597369797137,1,0,1,NPU+COMM
prefill,0.8221913788958053,0.8222271314291386,3.5752533333321956e-05,1,0,0,NPU_only
prefill,0.8222271314291386,0.8233704614291386,0.001143329999999998,1,1,0,NPU+PIM
prefill,0.8233704614291386,0.8237515714291386,0.0003811099999999623,1,0,0,NPU_only
prefill,0.8237515714291386,0.8238174212826542,6.584985351565376e-05,1,0,1,NPU+COMM
prefill,0.8238174212826542,0.8734161633931886,0.04959874211053439,1,0,0,NPU_only
prefill,0.8734161633931886,0.8734820132467043,6.584985351565376e-05,1,0,1,NPU+COMM
prefill,0.8734820132467043,0.9247906238642699,0.05130861061756564,1,0,0,NPU_only
prefill,0.9247906238642699,0.9248564737177856,6.584985351565376e-05,1,0,1,NPU+COMM
prefill,0.9248564737177856,0.9761650843353512,0.05130861061756564,1,0,0,NPU_only
prefill,0.9761650843353512,0.9762309341888669,6.584985351565376e-05,1,0,1,NPU+COMM
prefill,0.9762309341888669,1.0275395448064324,0.05130861061756553,1,0,0,NPU_only
prefill,1.0275395448064324,1.027605394659948,6.584985351554273e-05,1,0,1,NPU+COMM
prefill,1.027605394659948,1.0789140052775137,0.05130861061756575,1,0,0,NPU_only
prefill,1.0789140052775137,1.0789798551310292,6.584985351554273e-05,1,0,1,NPU+COMM
prefill,1.0789798551310292,1.130288465748595,0.05130861061756575,1,0,0,NPU_only
prefill,1.130288465748595,1.1303543156021105,6.584985351554273e-05,1,0,1,NPU+COMM
prefill,1.1303543156021105,1.1816629262196763,0.05130861061756575,1,0,0,NPU_only
prefill,1.1816629262196763,1.1817287760731918,6.584985351554273e-05,1,0,1,NPU+COMM
prefill,1.1817287760731918,1.6457576561682434,0.4640288800950516,1,0,0,NPU_only
prefill,1.6457576561682434,1.645823506021759,6.584985351554273e-05,1,0,1,NPU+COMM
prefill,1.645823506021759,1.6971321166393247,0.05130861061756575,1,0,0,NPU_only
prefill,1.6971321166393247,1.6971979664928403,6.584985351554273e-05,1,0,1,NPU+COMM
prefill,1.6971979664928403,1.748506577110406,0.05130861061756575,1,0,0,NPU_only
prefill,1.748506577110406,1.7485724269639216,6.584985351554273e-05,1,0,1,NPU+COMM
prefill,1.7485724269639216,1.7998810375814873,0.05130861061756575,1,0,0,NPU_only
prefill,1.7998810375814873,1.7999468874350029,6.584985351554273e-05,1,0,1,NPU+COMM
