phase,start,end,duration,npu_active,pim_active,comm_active,label
prefill,0.0,5.033538480718085e-05,5.033538480718085e-05,1,0,0,NPU_only
prefill,0.0001906455181405142,0.0012302431743905144,0.0010395976562500003,0,0,1,COMM_only
prefill,0.001510663441057181,0.002096312122697806,0.0005856486816406248,0,1,1,PIM+COMM
prefill,0.002096312122697806,0.0023292987115120962,0.00023298658881429042,0,1,0,PIM_only
prefill,0.0023767323893644724,0.0029623810710050977,0.0005856486816406253,0,1,1,PIM+COMM
prefill,0.0029623810710050977,0.0031953676598193877,0.00023298658881429,0,1,0,PIM_only
prefill,0.0032428013376717643,0.0038284500193123895,0.0005856486816406253,0,1,1,PIM+COMM
prefill,0.0038284500193123895,0.004108870285979056,0.0002804202666666666,0,1,0,PIM_only
prefill,0.004108870285979056,0.004694518967619681,0.0005856486816406253,0,1,1,PIM+COMM
prefill,0.004694518967619681,0.004974939234286348,0.000280420266666667,0,1,0,PIM_only
prefill,0.004974939234286348,0.005560587915926974,0.0005856486816406253,0,1,1,PIM+COMM
prefill,0.005560587915926974,0.00584100818259364,0.00028042026666666615,0,1,0,PIM_only
prefill,0.00584100818259364,0.006366581011772513,0.0005255728291788733,0,1,1,PIM+COMM
prefill,0.006366581011772513,0.0077973015224496,0.0014307205106770865,1,1,1,NPU+PIM+COMM
prefill,0.0077973015224496,0.015812751453048553,0.008015449930598953,1,1,0,NPU+PIM
prefill,0.015812751453048553,0.23946031383588037,0.22364756238283182,1,0,0,NPU_only
prefill,0.23946031383588037,0.23959201354291162,0.000131699707031252,1,0,1,NPU+COMM
prefill,0.23959201354291162,0.23962776607624495,3.5752533333321956e-05,1,0,0,NPU_only
prefill,0.23962776607624495,0.23969361592976057,6.5849853515626e-05,1,1,1,NPU+PIM+COMM
prefill,0.23969361592976057,0.24045286934669985,0.0007592534169392762,1,1,0,NPU+PIM
prefill,0.24045286934669985,0.26512381568160087,0.024670946334901023,1,0,0,NPU_only
prefill,0.26512381568160087,0.26525551538863207,0.0001316997070311965,1,0,1,NPU+COMM
prefill,0.26525551538863207,0.26529126792196545,3.575253333337747e-05,1,0,0,NPU_only
prefill,0.26529126792196545,0.26535711777548104,6.584985351559824e-05,1,1,1,NPU+PIM+COMM
prefill,0.26535711777548104,0.2661163711924204,0.0007592534169393317,1,1,0,NPU+PIM
prefill,0.2661163711924204,0.29078731752732134,0.024670946334900967,1,0,0,NPU_only
prefill,0.29078731752732134,0.29091901723435254,0.0001316997070311965,1,0,1,NPU+COMM
prefill,0.29091901723435254,0.2909547697676859,3.575253333337747e-05,1,0,0,NPU_only
prefill,0.2909547697676859,0.2910206196212015,6.584985351559824e-05,1,1,1,NPU+PIM+COMM
prefill,0.2910206196212015,0.29177987303814085,0.0007592534169393317,1,1,0,NPU+PIM
prefill,0.29177987303814085,0.3164508193730418,0.024670946334900967,1,0,0,NPU_only
prefill,0.3164508193730418,0.316582519080073,0.0001316997070311965,1,0,1,NPU+COMM
prefill,0.316582519080073,0.3166182716134064,3.575253333337747e-05,1,0,0,NPU_only
prefill,0.3166182716134064,0.316684121466922,6.584985351559824e-05,1,1,1,NPU+PIM+COMM
prefill,0.316684121466922,0.3174433748838613,0.0007592534169393317,1,1,0,NPU+PIM
prefill,0.3174433748838613,0.3421143212187623,0.024670946334900967,1,0,0,NPU_only
prefill,0.3421143212187623,0.3422460209257935,0.0001316997070311965,1,0,1,NPU+COMM
prefill,0.3422460209257935,0.34228177345912686,3.575253333337747e-05,1,0,0,NPU_only
prefill,0.34228177345912686,0.34234762331264246,6.584985351559824e-05,1,1,1,NPU+PIM+COMM
prefill,0.34234762331264246,0.3431068767295818,0.0007592534169393317,1,1,0,NPU+PIM
prefill,0.3431068767295818,0.36777782306448276,0.024670946334900967,1,0,0,NPU_only
prefill,0.36777782306448276,0.36790952277151395,0.0001316997070311965,1,0,1,NPU+COMM
prefill,0.36790952277151395,0.36794527530484733,3.575253333337747e-05,1,0,0,NPU_only
