id	name	layer	head_shard	weight_id	orig_weight_size	new_weight_size	q_mode	q_wbits	q_gs	ws_pattern	ws_density	ws_storage	act_density	attn_pattern	attn_density
L0_LN1	LN	0	None	None	0	0									
L0_K_S0	K	0	0	L0_WK_S0	2097152	2097152									
L0_V_S0	V	0	0	L0_WV_S0	2097152	2097152									
L0_K_S1	K	0	1	L0_WK_S1	2097152	2097152									
L0_V_S1	V	0	1	L0_WV_S1	2097152	2097152									
L0_K_S2	K	0	2	L0_WK_S2	2097152	2097152									
L0_V_S2	V	0	2	L0_WV_S2	2097152	2097152									
L0_K_S3	K	0	3	L0_WK_S3	2097152	2097152									
L0_V_S3	V	0	3	L0_WV_S3	2097152	2097152									
L0_K_S4	K	0	4	L0_WK_S4	2097152	2097152									
L0_V_S4	V	0	4	L0_WV_S4	2097152	2097152									
L0_K_S5	K	0	5	L0_WK_S5	2097152	2097152									
L0_V_S5	V	0	5	L0_WV_S5	2097152	2097152									
L0_K_S6	K	0	6	L0_WK_S6	2097152	2097152									
L0_V_S6	V	0	6	L0_WV_S6	2097152	2097152									
L0_K_S7	K	0	7	L0_WK_S7	2097152	2097152									
L0_V_S7	V	0	7	L0_WV_S7	2097152	2097152									
L0_K_write_S0	K_write	0	0	None	0	0									
L0_V_write_S0	V_write	0	0	None	0	0									
L0_K_write_S1	K_write	0	1	None	0	0									
L0_V_write_S1	V_write	0	1	None	0	0									
L0_K_write_S2	K_write	0	2	None	0	0									
L0_V_write_S2	V_write	0	2	None	0	0									
L0_K_write_S3	K_write	0	3	None	0	0									
L0_V_write_S3	V_write	0	3	None	0	0									
L0_K_write_S4	K_write	0	4	None	0	0									
L0_V_write_S4	V_write	0	4	None	0	0									
L0_K_write_S5	K_write	0	5	None	0	0									
L0_V_write_S5	V_write	0	5	None	0	0									
L0_K_write_S6	K_write	0	6	None	0	0									
L0_V_write_S6	V_write	0	6	None	0	0									
L0_K_write_S7	K_write	0	7	None	0	0									
L0_V_write_S7	V_write	0	7	None	0	0									
L0_Q_S0	Q	0	0	L0_WQ_S0	2097152	2097152									
L0_QK_S0	QK	0	0	None	0	0									
L0_Softmax_S0	Softmax	0	0	None	0	0									
L0_SV_S0	SV	0	0	None	0	0									
L0_O_S0	O	0	0	L0_WO_S0	2097152	2097152									
L0_Q_S1	Q	0	1	L0_WQ_S1	2097152	2097152									
L0_QK_S1	QK	0	1	None	0	0									
L0_Softmax_S1	Softmax	0	1	None	0	0									
L0_SV_S1	SV	0	1	None	0	0									
L0_O_S1	O	0	1	L0_WO_S1	2097152	2097152									
L0_Q_S2	Q	0	2	L0_WQ_S2	2097152	2097152									
L0_QK_S2	QK	0	2	None	0	0									
L0_Softmax_S2	Softmax	0	2	None	0	0									
L0_SV_S2	SV	0	2	None	0	0									
L0_O_S2	O	0	2	L0_WO_S2	2097152	2097152									
L0_Q_S3	Q	0	3	L0_WQ_S3	2097152	2097152									
L0_QK_S3	QK	0	3	None	0	0									
L0_Softmax_S3	Softmax	0	3	None	0	0									
L0_SV_S3	SV	0	3	None	0	0									
L0_O_S3	O	0	3	L0_WO_S3	2097152	2097152									
L0_Q_S4	Q	0	4	L0_WQ_S4	2097152	2097152									
L0_QK_S4	QK	0	4	None	0	0									
L0_Softmax_S4	Softmax	0	4	None	0	0									
L0_SV_S4	SV	0	4	None	0	0									
L0_O_S4	O	0	4	L0_WO_S4	2097152	2097152									
L0_Q_S5	Q	0	5	L0_WQ_S5	2097152	2097152									
L0_QK_S5	QK	0	5	None	0	0									
L0_Softmax_S5	Softmax	0	5	None	0	0									
L0_SV_S5	SV	0	5	None	0	0									
L0_O_S5	O	0	5	L0_WO_S5	2097152	2097152									
L0_Q_S6	Q	0	6	L0_WQ_S6	2097152	2097152									
L0_QK_S6	QK	0	6	None	0	0									
L0_Softmax_S6	Softmax	0	6	None	0	0									
L0_SV_S6	SV	0	6	None	0	0									
L0_O_S6	O	0	6	L0_WO_S6	2097152	2097152									
L0_Q_S7	Q	0	7	L0_WQ_S7	2097152	2097152									
L0_QK_S7	QK	0	7	None	0	0									
L0_Softmax_S7	Softmax	0	7	None	0	0									
L0_SV_S7	SV	0	7	None	0	0									
L0_O_S7	O	0	7	L0_WO_S7	2097152	2097152									
L0_O_allreduce	AllReduce	0	None	None	0	0									
L0_Add1	Add	0	None	None	0	0									
L0_LN2	LN	0	None	None	0	0									
L0_FFN_W1_S0	FFN_W1	0	None	L0_W1_S0	5636096	5636096									
L0_FFN_W3_S0	FFN_W3	0	None	L0_W3_S0	5636096	5636096									
L0_Act_S0	SwiGLU	0	None	None	0	0									
L0_FFN_W2_S0	FFN_W2	0	None	L0_W2_S0	5636096	5636096									
L0_FFN_W1_S1	FFN_W1	0	None	L0_W1_S1	5636096	5636096									
L0_FFN_W3_S1	FFN_W3	0	None	L0_W3_S1	5636096	5636096									
L0_Act_S1	SwiGLU	0	None	None	0	0									
L0_FFN_W2_S1	FFN_W2	0	None	L0_W2_S1	5636096	5636096									
L0_FFN_W1_S2	FFN_W1	0	None	L0_W1_S2	5636096	5636096									
L0_FFN_W3_S2	FFN_W3	0	None	L0_W3_S2	5636096	5636096									
L0_Act_S2	SwiGLU	0	None	None	0	0									
L0_FFN_W2_S2	FFN_W2	0	None	L0_W2_S2	5636096	5636096									
L0_FFN_W1_S3	FFN_W1	0	None	L0_W1_S3	5636096	5636096									
L0_FFN_W3_S3	FFN_W3	0	None	L0_W3_S3	5636096	5636096									
L0_Act_S3	SwiGLU	0	None	None	0	0									
L0_FFN_W2_S3	FFN_W2	0	None	L0_W2_S3	5636096	5636096									
L0_FFN_W1_S4	FFN_W1	0	None	L0_W1_S4	5636096	5636096									
L0_FFN_W3_S4	FFN_W3	0	None	L0_W3_S4	5636096	5636096									
L0_Act_S4	SwiGLU	0	None	None	0	0									
L0_FFN_W2_S4	FFN_W2	0	None	L0_W2_S4	5636096	5636096									
L0_FFN_W1_S5	FFN_W1	0	None	L0_W1_S5	5636096	5636096									
L0_FFN_W3_S5	FFN_W3	0	None	L0_W3_S5	5636096	5636096									
L0_Act_S5	SwiGLU	0	None	None	0	0									
L0_FFN_W2_S5	FFN_W2	0	None	L0_W2_S5	5636096	5636096									
L0_FFN_W1_S6	FFN_W1	0	None	L0_W1_S6	5636096	5636096									
L0_FFN_W3_S6	FFN_W3	0	None	L0_W3_S6	5636096	5636096									
L0_Act_S6	SwiGLU	0	None	None	0	0									
L0_FFN_W2_S6	FFN_W2	0	None	L0_W2_S6	5636096	5636096									
L0_FFN_W1_S7	FFN_W1	0	None	L0_W1_S7	5636096	5636096									
L0_FFN_W3_S7	FFN_W3	0	None	L0_W3_S7	5636096	5636096									
L0_Act_S7	SwiGLU	0	None	None	0	0									
L0_FFN_W2_S7	FFN_W2	0	None	L0_W2_S7	5636096	5636096									
L0_FFN_allreduce	AllReduce	0	None	None	0	0									
L0_Add2	Add	0	None	None	0	0									
L1_LN1	LN	1	None	None	0	0									
