phase,start,end,duration,npu_active,pim_active,comm_active,label
prefill,0.0,5.033538480718085e-05,5.033538480718085e-05,1,0,0,NPU_only
prefill,5.033538480718085e-05,0.00011618523832280584,6.5849853515625e-05,1,0,1,NPU+COMM
prefill,0.00011618523832280584,0.051416212787040755,0.05130002754871795,1,0,0,NPU_only
prefill,0.051416212787040755,0.05156588876073867,0.00014967597369791585,1,0,1,NPU+COMM
prefill,0.05156588876073867,0.051601641294072,3.5752533333328895e-05,1,0,0,NPU_only
prefill,0.051601641294072,0.05160199892194065,3.5762786865234375e-07,1,1,0,NPU+PIM
prefill,0.05160199892194065,0.0516021181312302,1.1920928955078125e-07,1,0,0,NPU_only
prefill,0.0516021181312302,0.05166796798474583,6.5849853515626e-05,1,0,1,NPU+COMM
prefill,0.05166796798474583,0.10278209018927432,0.051114122204528496,1,0,0,NPU_only
prefill,0.10278209018927432,0.10293176616297224,0.00014967597369791585,1,0,1,NPU+COMM
prefill,0.10293176616297224,0.10296751869630558,3.5752533333335834e-05,1,0,0,NPU_only
prefill,0.10296751869630558,0.10296787632417423,3.5762786865234375e-07,1,1,0,NPU+PIM
prefill,0.10296787632417423,0.10296799553346378,1.1920928955078125e-07,1,0,0,NPU_only
prefill,0.10296799553346378,0.1030338453869794,6.5849853515626e-05,1,0,1,NPU+COMM
prefill,0.1030338453869794,0.1541479675915079,0.05111412220452849,1,0,0,NPU_only
prefill,0.1541479675915079,0.1542976435652058,0.00014967597369791585,1,0,1,NPU+COMM
prefill,0.1542976435652058,0.15433339609853913,3.5752533333321956e-05,1,0,0,NPU_only
prefill,0.15433339609853913,0.15433375372640779,3.5762786865234375e-07,1,1,0,NPU+PIM
prefill,0.15433375372640779,0.15433387293569734,1.1920928955078125e-07,1,0,0,NPU_only
prefill,0.15433387293569734,0.15439972278921296,6.5849853515626e-05,1,0,1,NPU+COMM
prefill,0.15439972278921296,0.20551384499374148,0.05111412220452852,1,0,0,NPU_only
prefill,0.20551384499374148,0.2056635209674394,0.00014967597369791585,1,0,1,NPU+COMM
prefill,0.2056635209674394,0.20569927350077272,3.5752533333321956e-05,1,0,0,NPU_only
prefill,0.20569927350077272,0.20569963112864137,3.5762786865234375e-07,1,1,0,NPU+PIM
prefill,0.20569963112864137,0.20569975033793092,1.1920928955078125e-07,1,0,0,NPU_only
prefill,0.20569975033793092,0.20576560019144655,6.5849853515626e-05,1,0,1,NPU+COMM
prefill,0.20576560019144655,0.25687972239597506,0.05111412220452852,1,0,0,NPU_only
prefill,0.25687972239597506,0.2570293983696729,0.00014967597369786034,1,0,1,NPU+COMM
prefill,0.2570293983696729,0.2570651509030063,3.575253333337747e-05,1,0,0,NPU_only
prefill,0.2570651509030063,0.25706550853087495,3.5762786865234375e-07,1,1,0,NPU+PIM
prefill,0.25706550853087495,0.2570656277401645,1.1920928955078125e-07,1,0,0,NPU_only
prefill,0.2570656277401645,0.2571314775936801,6.584985351559824e-05,1,0,1,NPU+COMM
prefill,0.2571314775936801,0.30824559979820865,0.051114122204528545,1,0,0,NPU_only
prefill,0.30824559979820865,0.3083952757719065,0.00014967597369786034,1,0,1,NPU+COMM
prefill,0.3083952757719065,0.3084310283052399,3.575253333337747e-05,1,0,0,NPU_only
prefill,0.3084310283052399,0.30843138593310854,3.5762786865234375e-07,1,1,0,NPU+PIM
prefill,0.30843138593310854,0.3084315051423981,1.1920928955078125e-07,1,0,0,NPU_only
prefill,0.3084315051423981,0.3084973549959137,6.584985351559824e-05,1,0,1,NPU+COMM
prefill,0.3084973549959137,0.35961147720044223,0.051114122204528545,1,0,0,NPU_only
prefill,0.35961147720044223,0.3597611531741401,0.00014967597369786034,1,0,1,NPU+COMM
prefill,0.3597611531741401,0.35979690570747347,3.575253333337747e-05,1,0,0,NPU_only
prefill,0.35979690570747347,0.3597972633353421,3.5762786865234375e-07,1,1,0,NPU+PIM
prefill,0.3597972633353421,0.35979738254463167,1.1920928955078125e-07,1,0,0,NPU_only
prefill,0.35979738254463167,0.35986323239814727,6.584985351559824e-05,1,0,1,NPU+COMM
prefill,0.35986323239814727,0.4109773546026758,0.051114122204528545,1,0,0,NPU_only
prefill,0.4109773546026758,0.4111270305763737,0.00014967597369786034,1,0,1,NPU+COMM
prefill,0.4111270305763737,0.41116278310970705,3.575253333337747e-05,1,0,0,NPU_only
prefill,0.41116278310970705,0.4111631407375757,3.5762786865234375e-07,1,1,0,NPU+PIM
prefill,0.4111631407375757,0.41116325994686526,1.1920928955078125e-07,1,0,0,NPU_only
prefill,0.41116325994686526,0.41122910980038085,6.584985351559824e-05,1,0,1,NPU+COMM
prefill,0.41122910980038085,0.4623432320049094,0.051114122204528545,1,0,0,NPU_only
prefill,0.4623432320049094,0.46249290797860726,0.00014967597369786034,1,0,1,NPU+COMM
prefill,0.46249290797860726,0.46252866051194064,3.575253333337747e-05,1,0,0,NPU_only
prefill,0.46252866051194064,0.4625290181398093,3.5762786865234375e-07,1,1,0,NPU+PIM
prefill,0.4625290181398093,0.46252913734909884,1.1920928955078125e-07,1,0,0,NPU_only
prefill,0.46252913734909884,0.46259498720261444,6.584985351559824e-05,1,0,1,NPU+COMM
prefill,0.46259498720261444,0.513709109407143,0.051114122204528545,1,0,0,NPU_only
prefill,0.513709109407143,0.513858785380841,0.00014967597369797137,1,0,1,NPU+COMM
prefill,0.513858785380841,0.5138945379141743,3.5752533333321956e-05,1,0,0,NPU_only
prefill,0.5138945379141743,0.5138948955420429,3.5762786865234375e-07,1,1,0,NPU+PIM
prefill,0.5138948955420429,0.5138950147513325,1.1920928955078125e-07,1,0,0,NPU_only
prefill,0.5138950147513325,0.5139608646048481,6.584985351565376e-05,1,0,1,NPU+COMM
prefill,0.5139608646048481,0.5650749868093766,0.05111412220452849,1,0,0,NPU_only
prefill,0.5650749868093766,0.5652246627830746,0.00014967597369797137,1,0,1,NPU+COMM
prefill,0.5652246627830746,0.5652604153164079,3.5752533333321956e-05,1,0,0,NPU_only
prefill,0.5652604153164079,0.5652607729442766,3.5762786865234375e-07,1,1,0,NPU+PIM
prefill,0.5652607729442766,0.5652608921535661,1.1920928955078125e-07,1,0,0,NPU_only
prefill,0.5652608921535661,0.5653267420070818,6.584985351565376e-05,1,0,1,NPU+COMM
prefill,0.5653267420070818,0.6164408642116103,0.05111412220452849,1,0,0,NPU_only
prefill,0.6164408642116103,0.6165905401853082,0.00014967597369797137,1,0,1,NPU+COMM
prefill,0.6165905401853082,0.6166262927186416,3.5752533333321956e-05,1,0,0,NPU_only
prefill,0.6166262927186416,0.6166266503465102,3.5762786865234375e-07,1,1,0,NPU+PIM
prefill,0.6166266503465102,0.6166267695557998,1.1920928955078125e-07,1,0,0,NPU_only
prefill,0.6166267695557998,0.6166926194093154,6.584985351565376e-05,1,0,1,NPU+COMM
prefill,0.6166926194093154,0.6678067416138439,0.05111412220452849,1,0,0,NPU_only
prefill,0.6678067416138439,0.6679564175875419,0.00014967597369797137,1,0,1,NPU+COMM
prefill,0.6679564175875419,0.6679921701208752,3.5752533333321956e-05,1,0,0,NPU_only
prefill,0.6679921701208752,0.6679925277487438,3.5762786865234375e-07,1,1,0,NPU+PIM
prefill,0.6679925277487438,0.6679926469580334,1.1920928955078125e-07,1,0,0,NPU_only
prefill,0.6679926469580334,0.668058496811549,6.584985351565376e-05,1,0,1,NPU+COMM
prefill,0.668058496811549,0.7191726190160775,0.05111412220452849,1,0,0,NPU_only
prefill,0.7191726190160775,0.7193222949897755,0.00014967597369797137,1,0,1,NPU+COMM
prefill,0.7193222949897755,0.7193580475231088,3.5752533333321956e-05,1,0,0,NPU_only
prefill,0.7193580475231088,0.7193584051509775,3.5762786865234375e-07,1,1,0,NPU+PIM
prefill,0.7193584051509775,0.719358524360267,1.1920928955078125e-07,1,0,0,NPU_only
prefill,0.719358524360267,0.7194243742137827,6.584985351565376e-05,1,0,1,NPU+COMM
prefill,0.7194243742137827,0.7705384964183112,0.05111412220452849,1,0,0,NPU_only
prefill,0.7705384964183112,0.7706881723920092,0.00014967597369797137,1,0,1,NPU+COMM
prefill,0.7706881723920092,0.7707239249253425,3.5752533333321956e-05,1,0,0,NPU_only
prefill,0.7707239249253425,0.7707242825532111,3.5762786865234375e-07,1,1,0,NPU+PIM
prefill,0.7707242825532111,0.7707244017625007,1.1920928955078125e-07,1,0,0,NPU_only
prefill,0.7707244017625007,0.7707902516160163,6.584985351565376e-05,1,0,1,NPU+COMM
prefill,0.7707902516160163,0.8219043738205448,0.05111412220452849,1,0,0,NPU_only
prefill,0.8219043738205448,0.8220540497942428,0.00014967597369797137,1,0,1,NPU+COMM
prefill,0.8220540497942428,0.8220898023275761,3.5752533333321956e-05,1,0,0,NPU_only
prefill,0.8220898023275761,0.8220901599554448,3.5762786865234375e-07,1,1,0,NPU+PIM
prefill,0.8220901599554448,0.8220902791647343,1.1920928955078125e-07,1,0,0,NPU_only
prefill,0.8220902791647343,0.82215612901825,6.584985351565376e-05,1,0,1,NPU+COMM
prefill,0.82215612901825,0.8732702512227785,0.05111412220452849,1,0,0,NPU_only
prefill,0.8732702512227785,0.8733361010762941,6.584985351565376e-05,1,0,1,NPU+COMM
prefill,0.8733361010762941,0.9246361286250121,0.051300027548717986,1,0,0,NPU_only
prefill,0.9246361286250121,0.9247019784785278,6.584985351565376e-05,1,0,1,NPU+COMM
prefill,0.9247019784785278,0.9760020060272457,0.051300027548717986,1,0,0,NPU_only
prefill,0.9760020060272457,0.9760678558807614,6.584985351565376e-05,1,0,1,NPU+COMM
prefill,0.9760678558807614,1.0273678834294793,0.051300027548717875,1,0,0,NPU_only
prefill,1.0273678834294793,1.0274337332829948,6.584985351554273e-05,1,0,1,NPU+COMM
prefill,1.0274337332829948,1.078733760831713,0.0513000275487181,1,0,0,NPU_only
prefill,1.078733760831713,1.0787996106852284,6.584985351554273e-05,1,0,1,NPU+COMM
prefill,1.0787996106852284,1.1300996382339465,0.0513000275487181,1,0,0,NPU_only
prefill,1.1300996382339465,1.130165488087462,6.584985351554273e-05,1,0,1,NPU+COMM
prefill,1.130165488087462,1.1814655156361802,0.0513000275487181,1,0,0,NPU_only
prefill,1.1814655156361802,1.1815313654896957,6.584985351554273e-05,1,0,1,NPU+COMM
prefill,1.1815313654896957,1.6452922034971924,0.4637608380074967,1,0,0,NPU_only
prefill,1.6452922034971924,1.645358053350708,6.584985351554273e-05,1,0,1,NPU+COMM
prefill,1.645358053350708,1.696658080899426,0.0513000275487181,1,0,0,NPU_only
prefill,1.696658080899426,1.6967239307529416,6.584985351554273e-05,1,0,1,NPU+COMM
prefill,1.6967239307529416,1.7480239583016597,0.0513000275487181,1,0,0,NPU_only
prefill,1.7480239583016597,1.7480898081551752,6.584985351554273e-05,1,0,1,NPU+COMM
