phase,start,end,duration,npu_active,pim_active,comm_active,label
prefill,0.0,5.033538480718085e-05,5.033538480718085e-05,1,0,0,NPU_only
prefill,0.0001906455181405142,0.0012302431743905144,0.0010395976562500003,0,0,1,COMM_only
prefill,0.001510663441057181,0.002096312122697806,0.0005856486816406248,0,1,1,PIM+COMM
prefill,0.002096312122697806,1.0016123850371956,0.9995160729144978,0,1,0,PIM_only
prefill,1.0016123850371956,1.002198033718836,0.0005856486816404605,0,1,1,PIM+COMM
prefill,1.002198033718836,2.001714106633334,0.9995160729144978,0,1,0,PIM_only
prefill,2.001714106633334,2.002299755314975,0.0005856486816409046,0,1,1,PIM+COMM
prefill,2.002299755314975,3.0018158282294722,0.9995160729144974,0,1,0,PIM_only
prefill,3.0018158282294722,3.002401476911113,0.0005856486816409046,0,1,1,PIM+COMM
prefill,3.002401476911113,4.0019175498256105,0.9995160729144974,0,1,0,PIM_only
prefill,4.0019175498256105,4.0025031985072514,0.0005856486816409046,0,1,1,PIM+COMM
prefill,4.0025031985072514,5.002019271421749,0.9995160729144974,0,1,0,PIM_only
prefill,5.002019271421749,5.002204819138069,0.0001855477163204,0,1,1,PIM+COMM
prefill,5.002204819138069,5.003042890967108,0.0008380718290386113,1,1,1,NPU+PIM+COMM
prefill,5.003042890967108,5.181735818737427,0.1786929277703191,1,1,0,NPU+PIM
prefill,5.181735818737427,6.002123854040836,0.8203880353034094,0,1,0,PIM_only
prefill,6.00215686476051,6.0023065407342076,0.00014967597369786034,0,0,1,COMM_only
prefill,6.0023065407342076,6.002815363295667,0.0005088225614597874,1,0,1,NPU+COMM
prefill,6.002815363295667,6.0557233282609335,0.052907964965266174,1,0,0,NPU_only
prefill,6.0557233282609335,6.055855027967965,0.00013169970703152956,1,0,1,NPU+COMM
prefill,6.055855027967965,6.055890780501298,3.575253333298889e-05,1,0,0,NPU_only
prefill,6.055890780501298,6.055956630354814,6.584985351576478e-05,1,1,1,NPU+PIM+COMM
prefill,6.055956630354814,6.081370613917985,0.025413983563170817,1,1,0,NPU+PIM
prefill,6.081370613917985,6.081502313625016,0.00013169970703152956,1,1,1,NPU+PIM+COMM
prefill,6.081502313625016,6.081538066158349,3.575253333298889e-05,1,1,0,NPU+PIM
prefill,6.081538066158349,6.081603916011865,6.584985351576478e-05,1,1,1,NPU+PIM+COMM
prefill,6.081603916011865,6.107017899575036,0.025413983563170817,1,1,0,NPU+PIM
prefill,6.107017899575036,6.107149599282067,0.00013169970703152956,1,1,1,NPU+PIM+COMM
prefill,6.107149599282067,6.1071853518154,3.575253333298889e-05,1,1,0,NPU+PIM
prefill,6.1071853518154,6.107251201668916,6.584985351576478e-05,1,1,1,NPU+PIM+COMM
prefill,6.107251201668916,6.132665185232087,0.025413983563170817,1,1,0,NPU+PIM
prefill,6.132665185232087,6.132796884939118,0.00013169970703152956,1,1,1,NPU+PIM+COMM
prefill,6.132796884939118,6.132832637472451,3.575253333298889e-05,1,1,0,NPU+PIM
prefill,6.132832637472451,6.132898487325967,6.584985351576478e-05,1,1,1,NPU+PIM+COMM
prefill,6.132898487325967,6.158312470889138,0.025413983563170817,1,1,0,NPU+PIM
prefill,6.158312470889138,6.158444170596169,0.00013169970703152956,1,1,1,NPU+PIM+COMM
prefill,6.158444170596169,6.158479923129502,3.575253333298889e-05,1,1,0,NPU+PIM
prefill,6.158479923129502,6.158545772983018,6.584985351576478e-05,1,1,1,NPU+PIM+COMM
prefill,6.158545772983018,6.183959756546189,0.025413983563170817,1,1,0,NPU+PIM
prefill,6.183959756546189,6.1840914562532205,0.00013169970703152956,1,1,1,NPU+PIM+COMM
prefill,6.1840914562532205,6.1841272087865535,3.575253333298889e-05,1,1,0,NPU+PIM
prefill,6.1841272087865535,6.184193058640069,6.584985351576478e-05,1,1,1,NPU+PIM+COMM
prefill,6.184193058640069,6.20960704220324,0.025413983563170817,1,1,0,NPU+PIM
prefill,6.20960704220324,6.209738741910272,0.00013169970703152956,1,1,1,NPU+PIM+COMM
