shape,M,N,K,total_time_us,line70_us,line71_us,line72_us,line73_us
1x128x128,1,128,128,0.29000000000000004,0.05,0.11,0.04,0.09
1x256x4096,1,256,4096,2.11,0.05,1.88,0.08,0.1
1x1024x4096,1,1024,4096,5.47,0.05,5.09,0.2,0.13
1x4096x4096,1,4096,4096,0.95,0.05,0.76,0.05,0.08
1x8192x8192,1,8192,8192,1.68,0.05,1.49,0.05,0.08
16x256x4096,16,256,4096,2.11,0.05,1.88,0.08,0.1
16x1024x4096,16,1024,4096,5.47,0.05,5.09,0.2,0.13
16x4096x4096,16,4096,4096,0.95,0.05,0.76,0.05,0.08
16x8192x8192,16,8192,8192,1.68,0.05,1.49,0.05,0.08
16x11008x4096,16,11008,4096,13.55,0.05,12.6,0.44,0.46
32x32x32,32,32,32,0.22000000000000003,0.05,0.05,0.04,0.08
64x64x64,64,64,64,0.23,0.05,0.05,0.04,0.09
128x128x128,128,128,128,0.82,0.42,0.168,0.17,0.06
128x1023x1024,128,1023,1024,22.98,0.42,4.52,0.2,17.84
128x1024x1023,128,1024,1023,22.98,0.42,4.52,0.2,17.84
128x1025x1024,128,1025,1024,23.32,0.42,4.58,0.2,18.21
128x4096x4096,128,4096,4096,0.97,0.07,0.76,0.05,0.08
128x11008x4096,128,11008,4096,13.57,0.07,12.6,0.44,0.46
256x256x256,256,256,256,3.86,0.33,0.58,0.08,2.87
129x113x91,129,113,91,0.74,0.12,0.12,0.06,0.44
