shape,M,N,K,total_time_us,line98_us,line103_us,missing_lines,csv_path
32x512,32,512,,0.34,0.0,0.34,98,profile/32x512/OPPROF_20260226122225_SYYRQXANAHMWGJQY/simulator/core0.veccore0/core0.veccore0_code_exe.csv
64x256,64,256,,0.3,0.0,0.3,98,profile/64x256/OPPROF_20260226120452_UBUEISYFSMEQAUOP/simulator/core0.veccore0/core0.veccore0_code_exe.csv
64x512,64,512,,0.35,0.0,0.35,98,profile/64x512/OPPROF_20260226122338_BTEJQDNWTHUSRFYB/simulator/core0.veccore0/core0.veccore0_code_exe.csv
128x128,128,128,,0.4,0.0,0.4,98,profile/128x128/OPPROF_20260226082102_FIFKWNJAOJTKPJWP/simulator/core0.veccore0/core0.veccore0_code_exe.csv
128x256,128,256,,0.35,0.0,0.35,98,profile/128x256/OPPROF_20260226120611_RDNGTSEYQHMTZYGM/simulator/core0.veccore0/core0.veccore0_code_exe.csv
128x512,128,512,,0.36,0.0,0.36,98,profile/128x512/OPPROF_20260226122452_DEWESUVWGXHQSEGE/simulator/core0.veccore0/core0.veccore0_code_exe.csv
256x127,256,127,,0.52,0.0,0.52,98,profile/256x127/OPPROF_20260226113132_CJEGBKAAZXRFBNUF/simulator/core0.veccore0/core0.veccore0_code_exe.csv
256x128,256,128,,0.4,0.0,0.4,98,profile/256x128/OPPROF_20260226113311_IUQCLMSBQBTCCATW/simulator/core0.veccore0/core0.veccore0_code_exe.csv
256x129,256,129,,0.52,0.0,0.52,98,profile/256x129/OPPROF_20260226113506_HCLTCGNYNJLBCSWT/simulator/core0.veccore0/core0.veccore0_code_exe.csv
256x255,256,255,,0.55,0.0,0.55,98,profile/256x255/OPPROF_20260226113653_YEBZHUQGDSLKTYMY/simulator/core0.veccore0/core0.veccore0_code_exe.csv
256x256,256,256,,0.4,0.0,0.4,98,profile/256x256/OPPROF_20260226120737_BSARAUGTUMQFMRZJ/simulator/core0.veccore0/core0.veccore0_code_exe.csv
256x257,256,257,,0.62,0.0,0.62,98,profile/256x257/OPPROF_20260226114016_MRZTTKXZZWXYIFSY/simulator/core0.veccore0/core0.veccore0_code_exe.csv
256x512,256,512,,0.51,0.0,0.51,98,profile/256x512/OPPROF_20260226122636_IWKVJAWYUJCPXLYL/simulator/core0.veccore0/core0.veccore0_code_exe.csv
256x1024,256,1024,,0.6,0.6,0.44,,profile/256x1024/OPPROF_20260226083209_KKQUZZJBOVHBDYJA/simulator/core0.veccore0/core0.veccore0_code_exe.csv
256x2048,256,2048,,1.41,1.41,0.53,,profile/256x2048/OPPROF_20260226083914_PUHAQXONGRBBOKVX/simulator/core0.veccore0/core0.veccore0_code_exe.csv
512x256,512,256,,0.56,0.0,0.56,98,profile/512x256/OPPROF_20260226120925_NLUJRVBZKHGAXXDU/simulator/core0.veccore0/core0.veccore0_code_exe.csv
512x512,512,512,,0.82,0.82,0.37,,profile/512x512/OPPROF_20260226122825_KWSRCKMADFUOQZQV/simulator/core0.veccore0/core0.veccore0_code_exe.csv
512x1024,512,1024,,1.71,1.71,0.72,,profile/512x1024/OPPROF_20260226084513_SQMZFLOJZJRAWZDH/simulator/core0.veccore0/core0.veccore0_code_exe.csv
512x2048,512,2048,,2.44,2.44,0.53,,profile/512x2048/OPPROF_20260226090014_YPSLULCWBIOGWOLQ/simulator/core0.veccore0/core0.veccore0_code_exe.csv
512x3072,512,3072,,2.86,2.86,0.5,,profile/512x3072/OPPROF_20260226091319_SRGVLJRNRYIPIECY/simulator/core0.veccore0/core0.veccore0_code_exe.csv
512x4096,512,4096,,3.6,3.6,0.0,103,profile/512x4096/OPPROF_20260226092114_DVBTLSRRMISSZZPL/simulator/core0.veccore0/core0.veccore0_code_exe.csv
1024x256,1024,256,,0.75,0.75,0.44,,profile/1024x256/OPPROF_20260226121128_IFBOIZDZVVNKQKLS/simulator/core0.veccore0/core0.veccore0_code_exe.csv
1024x512,1024,512,,1.94,1.94,0.54,,profile/1024x512/OPPROF_20260226123107_CJDGIEYFFWVOPWXK/simulator/core0.veccore0/core0.veccore0_code_exe.csv
