phase,node_id,op,device,device_type,mode,start,end,duration
prefill,L0_LN1,LN,Ascend_910B_NPU0,npu,NAIVE,0,1.91E-05,1.91E-05
prefill,L0_Q_s0,Q,Ascend_910B_NPU0,npu,NAIVE,1.91E-05,0.000178863,0.00015979
prefill,L0_K_s0,K,Ascend_910B_NPU0,npu,NAIVE,0.000178863,0.000219191,4.03E-05
prefill,L0_V_s0,V,Ascend_910B_NPU0,npu,NAIVE,0.000219191,0.00025952,4.03E-05
prefill,L0_Q_s1,Q,Ascend_910B_NPU0,npu,NAIVE,0.00025952,0.000419309,0.00015979
prefill,L0_K_s1,K,Ascend_910B_NPU0,npu,NAIVE,0.000419309,0.000459637,4.03E-05
prefill,L0_V_s1,V,Ascend_910B_NPU0,npu,NAIVE,0.000459637,0.000499966,4.03E-05
prefill,L0_K_write_s0,K_write,PIM0,pim,NAIVE,0.000235927,0.000236887,9.60E-07
prefill,L0_QK_s0,QK,Ascend_910B_NPU0,npu,NAIVE,0.000499966,0.0005429,4.29E-05
prefill,L0_V_write_s0,V_write,PIM0,pim,NAIVE,0.000276255,0.000277215,9.60E-07
prefill,L0_K_write_s1,K_write,PIM1,pim,NAIVE,0.000476373,0.000477333,9.60E-07
prefill,L0_QK_s1,QK,Ascend_910B_NPU0,npu,NAIVE,0.0005429,0.000585834,4.29E-05
prefill,L0_V_write_s1,V_write,PIM1,pim,NAIVE,0.000516701,0.000517661,9.60E-07
prefill,L0_Softmax_s0,Softmax,Ascend_910B_NPU0,npu,NAIVE,0.000585834,0.000662165,7.63E-05
prefill,L0_Softmax_s1,Softmax,Ascend_910B_NPU0,npu,NAIVE,0.000662165,0.000738496,7.63E-05
prefill,L0_SV_s0,SV,Ascend_910B_NPU0,npu,NAIVE,0.000738496,0.00078143,4.29E-05
prefill,L0_SV_s1,SV,Ascend_910B_NPU0,npu,NAIVE,0.00078143,0.000824364,4.29E-05
prefill,L0_O_s0,O,Ascend_910B_NPU0,npu,NAIVE,0.000824364,0.000981563,0.000157199
prefill,L0_O_s1,O,Ascend_910B_NPU0,npu,NAIVE,0.000981563,0.001138762,0.000157199
prefill,L0_AllReduce_O,ALLREDUCE,COMM,comm,COMM,0.001138762,0.001138762,0
prefill,L0_Add1,Add,Ascend_910B_NPU0,npu,NAIVE,0.001138762,0.001167372,2.86E-05
prefill,L0_LN2,LN,Ascend_910B_NPU0,npu,NAIVE,0.001167372,0.001186446,1.91E-05
prefill,L0_FFN_W1_E0,FFN_W1,Ascend_910B_NPU0,npu,NAIVE,0.001186446,0.002292534,0.001106088
prefill,L0_FFN_W3_E0,FFN_W3,Ascend_910B_NPU0,npu,NAIVE,0.002292534,0.003398621,0.001106088
prefill,L0_FFN_W1_E1,FFN_W1,Ascend_910B_NPU0,npu,NAIVE,0.003398621,0.004504709,0.001106088
prefill,L0_FFN_W3_E1,FFN_W3,Ascend_910B_NPU0,npu,NAIVE,0.004504709,0.005610796,0.001106088
prefill,L0_Act_E0,SwiGLU,Ascend_910B_NPU0,npu,NAIVE,0.005610796,0.005710932,0.000100136
prefill,L0_Act_E1,SwiGLU,Ascend_910B_NPU0,npu,NAIVE,0.005710932,0.005811068,0.000100136
prefill,L0_FFN_W2_E0,FFN_W2,Ascend_910B_NPU0,npu,NAIVE,0.005811068,0.006908503,0.001097435
prefill,L0_FFN_W2_E1,FFN_W2,Ascend_910B_NPU0,npu,NAIVE,0.006908503,0.008005938,0.001097435
prefill,L0_Router,MoE_Router,Ascend_910B_NPU0,npu,NAIVE,0.008005938,0.008007163,1.23E-06
prefill,L0_Add2,Add,Ascend_910B_NPU0,npu,NAIVE,0.008007163,0.008035774,2.86E-05
prefill,L1_LN1,LN,Ascend_910B_NPU0,npu,NAIVE,0.008035774,0.008054847,1.91E-05
prefill,L1_Q_s0,Q,Ascend_910B_NPU0,npu,NAIVE,0.008054847,0.008214637,0.00015979
prefill,L1_K_s0,K,Ascend_910B_NPU0,npu,NAIVE,0.008214637,0.008254965,4.03E-05
prefill,L1_V_s0,V,Ascend_910B_NPU0,npu,NAIVE,0.008254965,0.008295293,4.03E-05
prefill,L1_Q_s1,Q,Ascend_910B_NPU0,npu,NAIVE,0.008295293,0.008455083,0.00015979
prefill,L1_K_s1,K,Ascend_910B_NPU0,npu,NAIVE,0.008455083,0.008495411,4.03E-05
prefill,L1_V_s1,V,Ascend_910B_NPU0,npu,NAIVE,0.008495411,0.008535739,4.03E-05
prefill,L1_K_write_s0,K_write,PIM0,pim,NAIVE,0.0082717,0.00827266,9.60E-07
prefill,L1_QK_s0,QK,Ascend_910B_NPU0,npu,NAIVE,0.008535739,0.008578673,4.29E-05
prefill,L1_V_write_s0,V_write,PIM0,pim,NAIVE,0.008312029,0.008312989,9.60E-07
prefill,L1_K_write_s1,K_write,PIM1,pim,NAIVE,0.008512146,0.008513106,9.60E-07
prefill,L1_QK_s1,QK,Ascend_910B_NPU0,npu,NAIVE,0.008578673,0.008621607,4.29E-05
prefill,L1_V_write_s1,V_write,PIM1,pim,NAIVE,0.008552475,0.008553435,9.60E-07
prefill,L1_Softmax_s0,Softmax,Ascend_910B_NPU0,npu,NAIVE,0.008621607,0.008697938,7.63E-05
prefill,L1_Softmax_s1,Softmax,Ascend_910B_NPU0,npu,NAIVE,0.008697938,0.00877427,7.63E-05
prefill,L1_SV_s0,SV,Ascend_910B_NPU0,npu,NAIVE,0.00877427,0.008817203,4.29E-05
prefill,L1_SV_s1,SV,Ascend_910B_NPU0,npu,NAIVE,0.008817203,0.008860137,4.29E-05
prefill,L1_O_s0,O,Ascend_910B_NPU0,npu,NAIVE,0.008860137,0.009017337,0.000157199
