phase,node_id,op,device,device_type,mode,start,end,duration
prefill,L0_LN,LN,Ascend_910B_NPU0,npu,COMMAWARE,0,0.000228882,0.000228882
prefill,L0_Q_s0,Q,Ascend_910B_NPU0,npu,COMMAWARE,0.000228882,0.000284638,5.58E-05
prefill,L0_Q_s1,Q,Ascend_910B_NPU0,npu,COMMAWARE,0.000284638,0.000340395,5.58E-05
prefill,L0_K_s0,K,Ascend_910B_NPU0,npu,COMMAWARE,0.000340395,0.000348046,7.65E-06
prefill,L0_K_s1,K,Ascend_910B_NPU0,npu,COMMAWARE,0.000348046,0.000355698,7.65E-06
prefill,L0_QK_s0,QK,Ascend_910B_NPU0,npu,COMMAWARE,0.000355698,0.000870906,0.000515208
prefill,L0_QK_s1,QK,Ascend_910B_NPU0,npu,COMMAWARE,0.000870906,0.001386113,0.000515208
prefill,L0_Softmax_s0,Softmax,Ascend_910B_NPU0,npu,COMMAWARE,0.001386113,0.002302088,0.000915974
prefill,L0_Softmax_s1,Softmax,Ascend_910B_NPU0,npu,COMMAWARE,0.002302088,0.003218062,0.000915974
prefill,L0_V_s0,V,Ascend_910B_NPU0,npu,COMMAWARE,0.003218062,0.003225714,7.65E-06
prefill,L0_V_s1,V,Ascend_910B_NPU0,npu,COMMAWARE,0.003225714,0.003233366,7.65E-06
prefill,L0_SV_s0,SV,Ascend_910B_NPU0,npu,COMMAWARE,0.003233366,0.003748573,0.000515208
prefill,L0_SV_s1,SV,Ascend_910B_NPU0,npu,COMMAWARE,0.003748573,0.004263781,0.000515208
prefill,L0_O_s0,O,Ascend_910B_NPU0,npu,COMMAWARE,0.004263781,0.004319444,5.57E-05
prefill,L0_O_s1,O,Ascend_910B_NPU0,npu,COMMAWARE,0.004319444,0.004375107,5.57E-05
prefill,L0_AllReduce_O,ALLREDUCE,COMM,comm,COMM,0.004375107,0.004375107,0
prefill,L0_Add1,Add,Ascend_910B_NPU0,npu,COMMAWARE,0.004375107,0.00471843,0.000343323
prefill,L0_LN2,LN,Ascend_910B_NPU0,npu,COMMAWARE,0.00471843,0.004947312,0.000228882
prefill,L0_FFN_W1_s0,FFN_W1,Ascend_910B_NPU0,npu,COMMAWARE,0.004947312,0.005216548,0.000269236
prefill,L0_FFN_W1_s1,FFN_W1,Ascend_910B_NPU0,npu,COMMAWARE,0.005216548,0.005485783,0.000269236
prefill,L0_FFN_W3_s0,FFN_W3,Ascend_910B_NPU0,npu,COMMAWARE,0.005485783,0.005755019,0.000269236
prefill,L0_FFN_W3_s1,FFN_W3,Ascend_910B_NPU0,npu,COMMAWARE,0.005755019,0.006024255,0.000269236
prefill,L0_SwiGLU_s0,SwiGLU,Ascend_910B_NPU0,npu,COMMAWARE,0.006024255,0.007025613,0.001001358
prefill,L0_SwiGLU_s1,SwiGLU,Ascend_910B_NPU0,npu,COMMAWARE,0.007025613,0.008026971,0.001001358
prefill,L0_FFN_W2_s0,FFN_W2,Ascend_910B_NPU0,npu,COMMAWARE,0.008026971,0.008286815,0.000259844
prefill,L0_FFN_W2_s1,FFN_W2,Ascend_910B_NPU0,npu,COMMAWARE,0.008286815,0.008546659,0.000259844
prefill,L0_AllReduce_FFN,ALLREDUCE,COMM,comm,COMM,0.008546659,0.008546659,0
prefill,L0_Add2,Add,Ascend_910B_NPU0,npu,COMMAWARE,0.008546659,0.008889982,0.000343323
prefill,L1_LN,LN,Ascend_910B_NPU0,npu,COMMAWARE,0.008889982,0.009118863,0.000228882
prefill,L1_Q_s0,Q,Ascend_910B_NPU0,npu,COMMAWARE,0.009118863,0.00917462,5.58E-05
prefill,L1_Q_s1,Q,Ascend_910B_NPU0,npu,COMMAWARE,0.00917462,0.009230376,5.58E-05
prefill,L1_K_s0,K,Ascend_910B_NPU0,npu,COMMAWARE,0.009230376,0.009238028,7.65E-06
prefill,L1_K_s1,K,Ascend_910B_NPU0,npu,COMMAWARE,0.009238028,0.00924568,7.65E-06
prefill,L1_QK_s0,QK,Ascend_910B_NPU0,npu,COMMAWARE,0.00924568,0.009760887,0.000515208
prefill,L1_QK_s1,QK,Ascend_910B_NPU0,npu,COMMAWARE,0.009760887,0.010276095,0.000515208
prefill,L1_Softmax_s0,Softmax,Ascend_910B_NPU0,npu,COMMAWARE,0.010276095,0.011192069,0.000915974
prefill,L1_Softmax_s1,Softmax,Ascend_910B_NPU0,npu,COMMAWARE,0.011192069,0.012108044,0.000915974
prefill,L1_V_s0,V,Ascend_910B_NPU0,npu,COMMAWARE,0.012108044,0.012115695,7.65E-06
prefill,L1_V_s1,V,Ascend_910B_NPU0,npu,COMMAWARE,0.012115695,0.012123347,7.65E-06
prefill,L1_SV_s0,SV,Ascend_910B_NPU0,npu,COMMAWARE,0.012123347,0.012638555,0.000515208
prefill,L1_SV_s1,SV,Ascend_910B_NPU0,npu,COMMAWARE,0.012638555,0.013153762,0.000515208
prefill,L1_O_s0,O,Ascend_910B_NPU0,npu,COMMAWARE,0.013153762,0.013209426,5.57E-05
prefill,L1_O_s1,O,Ascend_910B_NPU0,npu,COMMAWARE,0.013209426,0.013265089,5.57E-05
