phase,node_id,op,device,device_type,mode,start,end,duration
prefill,L0_LN,LN,Ascend_910B_NPU0,npu,NAIVE,0,0.000228882,0.000228882
prefill,L0_Q_s0,Q,Ascend_910B_NPU0,npu,NAIVE,0.000228882,0.000284638,5.58E-05
prefill,L0_K_s0,K,Ascend_910B_NPU0,npu,NAIVE,0.000284638,0.00029229,7.65E-06
prefill,L0_V_s0,V,Ascend_910B_NPU0,npu,NAIVE,0.00029229,0.000299942,7.65E-06
prefill,L0_Q_s1,Q,Ascend_910B_NPU0,npu,NAIVE,0.000299942,0.000355698,5.58E-05
prefill,L0_K_s1,K,Ascend_910B_NPU0,npu,NAIVE,0.000355698,0.00036335,7.65E-06
prefill,L0_V_s1,V,Ascend_910B_NPU0,npu,NAIVE,0.00036335,0.000371001,7.65E-06
prefill,L0_K_write_s0,K_write,PIM0,pim,NAIVE,0.000426173,0.000433853,7.68E-06
prefill,L0_QK_s0,QK,Ascend_910B_NPU0,npu,NAIVE,0.000371001,0.000886209,0.000515208
prefill,L0_V_write_s0,V_write,PIM0,pim,NAIVE,0.000560057,0.000567737,7.68E-06
prefill,L0_K_write_s1,K_write,PIM1,pim,NAIVE,0.000497233,0.000504913,7.68E-06
prefill,L0_QK_s1,QK,Ascend_910B_NPU0,npu,NAIVE,0.000886209,0.001401417,0.000515208
prefill,L0_V_write_s1,V_write,PIM1,pim,NAIVE,0.000631117,0.000638797,7.68E-06
prefill,L0_Softmax_s0,Softmax,Ascend_910B_NPU0,npu,NAIVE,0.001401417,0.002317391,0.000915974
prefill,L0_Softmax_s1,Softmax,Ascend_910B_NPU0,npu,NAIVE,0.002317391,0.003233366,0.000915974
prefill,L0_SV_s0,SV,Ascend_910B_NPU0,npu,NAIVE,0.003233366,0.003748573,0.000515208
prefill,L0_SV_s1,SV,Ascend_910B_NPU0,npu,NAIVE,0.003748573,0.004263781,0.000515208
prefill,L0_O_s0,O,Ascend_910B_NPU0,npu,NAIVE,0.004263781,0.004319444,5.57E-05
prefill,L0_O_s1,O,Ascend_910B_NPU0,npu,NAIVE,0.004319444,0.004375107,5.57E-05
prefill,L0_AllReduce_O,ALLREDUCE,COMM,comm,COMM,0.004375107,0.004375107,0
prefill,L0_Add1,Add,Ascend_910B_NPU0,npu,NAIVE,0.004375107,0.00471843,0.000343323
prefill,L0_LN2,LN,Ascend_910B_NPU0,npu,NAIVE,0.00471843,0.004947312,0.000228882
prefill,L0_FFN_W1_s0,FFN_W1,Ascend_910B_NPU0,npu,NAIVE,0.004947312,0.005216548,0.000269236
prefill,L0_FFN_W3_s0,FFN_W3,Ascend_910B_NPU0,npu,NAIVE,0.005216548,0.005485783,0.000269236
prefill,L0_FFN_W1_s1,FFN_W1,Ascend_910B_NPU0,npu,NAIVE,0.005485783,0.005755019,0.000269236
prefill,L0_FFN_W3_s1,FFN_W3,Ascend_910B_NPU0,npu,NAIVE,0.005755019,0.006024255,0.000269236
prefill,L0_SwiGLU_s0,SwiGLU,Ascend_910B_NPU0,npu,NAIVE,0.006024255,0.007025613,0.001001358
prefill,L0_SwiGLU_s1,SwiGLU,Ascend_910B_NPU0,npu,NAIVE,0.007025613,0.008026971,0.001001358
prefill,L0_FFN_W2_s0,FFN_W2,Ascend_910B_NPU0,npu,NAIVE,0.008026971,0.008286815,0.000259844
prefill,L0_FFN_W2_s1,FFN_W2,Ascend_910B_NPU0,npu,NAIVE,0.008286815,0.008546659,0.000259844
prefill,L0_AllReduce_FFN,ALLREDUCE,COMM,comm,COMM,0.008546659,0.008546659,0
prefill,L0_Add2,Add,Ascend_910B_NPU0,npu,NAIVE,0.008546659,0.008889982,0.000343323
prefill,L1_LN,LN,Ascend_910B_NPU0,npu,NAIVE,0.008889982,0.009118863,0.000228882
prefill,L1_Q_s0,Q,Ascend_910B_NPU0,npu,NAIVE,0.009118863,0.00917462,5.58E-05
prefill,L1_K_s0,K,Ascend_910B_NPU0,npu,NAIVE,0.00917462,0.009182272,7.65E-06
prefill,L1_V_s0,V,Ascend_910B_NPU0,npu,NAIVE,0.009182272,0.009189923,7.65E-06
prefill,L1_Q_s1,Q,Ascend_910B_NPU0,npu,NAIVE,0.009189923,0.00924568,5.58E-05
prefill,L1_K_s1,K,Ascend_910B_NPU0,npu,NAIVE,0.00924568,0.009253331,7.65E-06
prefill,L1_V_s1,V,Ascend_910B_NPU0,npu,NAIVE,0.009253331,0.009260983,7.65E-06
prefill,L1_K_write_s0,K_write,PIM0,pim,NAIVE,0.009316155,0.009323835,7.68E-06
prefill,L1_QK_s0,QK,Ascend_910B_NPU0,npu,NAIVE,0.009260983,0.009776191,0.000515208
prefill,L1_V_write_s0,V_write,PIM0,pim,NAIVE,0.009450039,0.009457719,7.68E-06
prefill,L1_K_write_s1,K_write,PIM1,pim,NAIVE,0.009387215,0.009394895,7.68E-06
prefill,L1_QK_s1,QK,Ascend_910B_NPU0,npu,NAIVE,0.009776191,0.010291398,0.000515208
prefill,L1_V_write_s1,V_write,PIM1,pim,NAIVE,0.009521098,0.009528778,7.68E-06
prefill,L1_Softmax_s0,Softmax,Ascend_910B_NPU0,npu,NAIVE,0.010291398,0.011207373,0.000915974
prefill,L1_Softmax_s1,Softmax,Ascend_910B_NPU0,npu,NAIVE,0.011207373,0.012123347,0.000915974
prefill,L1_SV_s0,SV,Ascend_910B_NPU0,npu,NAIVE,0.012123347,0.012638555,0.000515208
prefill,L1_SV_s1,SV,Ascend_910B_NPU0,npu,NAIVE,0.012638555,0.013153762,0.000515208
prefill,L1_O_s0,O,Ascend_910B_NPU0,npu,NAIVE,0.013153762,0.013209426,5.57E-05
prefill,L1_O_s1,O,Ascend_910B_NPU0,npu,NAIVE,0.013209426,0.013265089,5.57E-05
prefill,L1_AllReduce_O,ALLREDUCE,COMM,comm,COMM,0.013265089,0.013265089,0
prefill,L1_Add1,Add,Ascend_910B_NPU0,npu,NAIVE,0.013265089,0.013608411,0.000343323
prefill,L1_LN2,LN,Ascend_910B_NPU0,npu,NAIVE,0.013608411,0.013837293,0.000228882
prefill,L1_FFN_W1_s0,FFN_W1,Ascend_910B_NPU0,npu,NAIVE,0.013837293,0.014106529,0.000269236
prefill,L1_FFN_W3_s0,FFN_W3,Ascend_910B_NPU0,npu,NAIVE,0.014106529,0.014375765,0.000269236
prefill,L1_FFN_W1_s1,FFN_W1,Ascend_910B_NPU0,npu,NAIVE,0.014375765,0.014645001,0.000269236
prefill,L1_FFN_W3_s1,FFN_W3,Ascend_910B_NPU0,npu,NAIVE,0.014645001,0.014914237,0.000269236
prefill,L1_SwiGLU_s0,SwiGLU,Ascend_910B_NPU0,npu,NAIVE,0.014914237,0.015915595,0.001001358
prefill,L1_SwiGLU_s1,SwiGLU,Ascend_910B_NPU0,npu,NAIVE,0.015915595,0.016916953,0.001001358
prefill,L1_FFN_W2_s0,FFN_W2,Ascend_910B_NPU0,npu,NAIVE,0.016916953,0.017176797,0.000259844
prefill,L1_FFN_W2_s1,FFN_W2,Ascend_910B_NPU0,npu,NAIVE,0.017176797,0.01743664,0.000259844
prefill,L1_AllReduce_FFN,ALLREDUCE,COMM,comm,COMM,0.01743664,0.01743664,0
