op,op_norm,traceable,phase,batch,seq_len,dim,n_heads,n_kv_heads,ffn_dim,fast_us,fast_total_us_from_breakdown,fast_breakdown_delta_us,trace_us,abs_err_us,rel_err_pct,fast_overall_dominant,fast_mem_us,fast_compute_us,fast_compute_us_naive,fast_roofline_us,fast_naive_roofline_us,fast_kernel_launch_overhead_us,fast_utilization,fast_peak_tflops,fast_effective_tflops,fast_op_key_overhead,fast_bytes_total_B,trace_error
Q,q_proj,True,prefill,1,512,4096,32,32,4096,2684.3574552796726,2684.3574552796726,0.0,3259.392,575.0345447203272,17.64238682307397,compute,13.020833333333334,2684.3574552796726,1073.741824,2684.3574552796726,1073.741824,0.0,0.3999995685701743,16.0,6.399993097122789,q_proj,8388608,
K,k_proj,True,prefill,1,512,4096,32,32,4096,2684.3574552796726,2684.3574552796726,0.0,3259.392,575.0345447203272,17.64238682307397,compute,13.020833333333334,2684.3574552796726,1073.741824,2684.3574552796726,1073.741824,0.0,0.3999995685701743,16.0,6.399993097122789,k_proj,8388608,
V,v_proj,True,prefill,1,512,4096,32,32,4096,2684.3574552796726,2684.3574552796726,0.0,3259.392,575.0345447203272,17.64238682307397,compute,13.020833333333334,2684.3574552796726,1073.741824,2684.3574552796726,1073.741824,0.0,0.3999995685701743,16.0,6.399993097122789,v_proj,8388608,
O,wo_proj,True,prefill,1,512,4096,32,32,4096,2684.3574552796726,2684.3574552796726,0.0,3259.392,575.0345447203272,17.64238682307397,compute,13.020833333333334,2684.3574552796726,1073.741824,2684.3574552796726,1073.741824,0.0,0.3999995685701743,16.0,6.399993097122789,wo_proj,8388608,
QK,score,True,prefill,1,512,4096,32,32,4096,168.34641659299956,168.34641659299956,0.0,1761.28,1592.9335834070005,90.44181410150574,compute,19.556681315104168,168.34641659299956,67.239936,168.34641659299956,67.239936,0.0,0.39941412095846224,16.0,6.390625935335396,score,12599296,
SOFTMAX,softmax,True,prefill,1,512,4096,32,32,4096,26.092529296875,26.092529296875,0.0,1678.848,1652.755470703125,98.44580752415496,memory,26.092529296875,4.3776,1.31328,26.092529296875,26.092529296875,0.0,0.3,16.0,4.8,softmax,16809984,
SV,output,True,prefill,1,512,4096,32,32,4096,168.34641659299956,168.34641659299956,0.0,942.0799999999999,773.7335834070004,82.1303481028151,compute,19.556681315104168,168.34641659299956,67.239936,168.34641659299956,67.239936,0.0,0.39941412095846224,16.0,6.390625935335396,output,12599296,
LN,rmsnorm,True,prefill,1,512,4096,32,32,4096,13.020833333333334,13.020833333333334,0.0,672.768,659.7471666666667,98.06458789161593,memory,13.020833333333334,2.1845333333333334,0.6553599999999999,13.020833333333334,13.020833333333334,0.0,0.3,16.0,4.8,ln,8388608,
ROPE,rope,True,prefill,1,512,4096,32,32,4096,13.020833333333334,13.020833333333334,0.0,4260.352,4247.331166666667,99.69437188914594,memory,13.020833333333334,0.0,0.0,13.020833333333334,13.020833333333334,0.0,0.3,16.0,4.8,rope,8388608,
FFN_W1,ffn_gate,True,prefill,1,512,4096,32,32,4096,2684.3574552796726,2684.3574552796726,0.0,3570.6879999999996,886.330544720327,24.822402425536115,compute,13.020833333333334,2684.3574552796726,1073.741824,2684.3574552796726,1073.741824,0.0,0.3999995685701743,16.0,6.399993097122789,ffn_gate,8388608,
FFN_W3,ffn_up,True,prefill,1,512,4096,32,32,4096,2684.3574552796726,2684.3574552796726,0.0,3259.392,575.0345447203272,17.64238682307397,compute,13.020833333333334,2684.3574552796726,1073.741824,2684.3574552796726,1073.741824,0.0,0.3999995685701743,16.0,6.399993097122789,ffn_up,8388608,
FFN_W2,ffn_down,True,prefill,1,512,4096,32,32,4096,2684.3574552796726,2684.3574552796726,0.0,3259.392,575.0345447203272,17.64238682307397,compute,13.020833333333334,2684.3574552796726,1073.741824,2684.3574552796726,1073.741824,0.0,0.3999995685701743,16.0,6.399993097122789,ffn_down,8388608,
SWIGLU,silu,True,prefill,1,512,4096,32,32,4096,19.53125,19.53125,0.0,182.784,163.25275,89.31457348564426,memory,19.53125,2.6214399999999998,0.786432,19.53125,19.53125,0.0,0.3,16.0,4.8,swiglu,12582912,
GELU,gelu,True,prefill,1,512,4096,32,32,4096,13.020833333333334,13.020833333333334,0.0,182.784,169.76316666666665,92.87638232376283,memory,13.020833333333334,2.6214399999999998,0.786432,13.020833333333334,13.020833333333334,0.0,0.3,16.0,4.8,gelu,8388608,
ADD,residual,True,prefill,1,512,4096,32,32,4096,19.53125,19.53125,0.0,1.536,17.99525,1171.5657552083333,memory,19.53125,0.43690666666666667,0.131072,19.53125,19.53125,0.0,0.3,16.0,4.8,add,12582912,
Q,q_proj,True,prefill,8,512,4096,32,32,4096,21474.836582692784,21474.836582692784,0.0,26075.136,4600.299417307215,17.642475258066593,compute,104.16666666666667,21474.836582692784,8589.934592,21474.836582692784,8589.934592,0.0,0.3999999980871979,16.0,6.399999969395166,q_proj,67108864,
K,k_proj,True,prefill,8,512,4096,32,32,4096,21474.836582692784,21474.836582692784,0.0,26075.136,4600.299417307215,17.642475258066593,compute,104.16666666666667,21474.836582692784,8589.934592,21474.836582692784,8589.934592,0.0,0.3999999980871979,16.0,6.399999969395166,k_proj,67108864,
V,v_proj,True,prefill,8,512,4096,32,32,4096,21474.836582692784,21474.836582692784,0.0,26075.136,4600.299417307215,17.642475258066593,compute,104.16666666666667,21474.836582692784,8589.934592,21474.836582692784,8589.934592,0.0,0.3999999980871979,16.0,6.399999969395166,v_proj,67108864,
O,wo_proj,True,prefill,8,512,4096,32,32,4096,21474.836582692784,21474.836582692784,0.0,26075.136,4600.299417307215,17.642475258066593,compute,104.16666666666667,21474.836582692784,8589.934592,21474.836582692784,8589.934592,0.0,0.3999999980871979,16.0,6.399999969395166,wo_proj,67108864,
QK,score,True,prefill,8,512,4096,32,32,4096,1344.8075042903606,1344.8075042903606,0.0,14090.24,12745.43249570964,90.45575161040294,compute,156.45345052083334,1344.8075042903606,537.919488,1344.8075042903606,537.919488,0.0,0.39999738719769706,16.0,6.399958195163153,score,100794368,
SOFTMAX,softmax,True,prefill,8,512,4096,32,32,4096,208.740234375,208.740234375,0.0,13430.784,13222.043765625,98.44580752415496,memory,208.740234375,29.398989742493104,10.50624,208.740234375,208.740234375,0.0,0.3573673820775668,16.0,5.717878113241069,softmax,134479872,
SV,output,True,prefill,8,512,4096,32,32,4096,1344.8075042903606,1344.8075042903606,0.0,7536.639999999999,6191.832495709639,82.15640518466637,compute,156.45345052083334,1344.8075042903606,537.919488,1344.8075042903606,537.919488,0.0,0.39999738719769706,16.0,6.399958195163153,output,100794368,
