instr,addr,pipe,call_count,cycles,running_time(us),detail
STI_XN_IMM,0x10d11108,SCALAR,1,532,0.000000,"dtype:B32,XN:X30=0x1080b0,IMM:0xea8,#POST:0,#IMM_TYPE:ONE,"
STI_XN_IMM,0x10d11100,SCALAR,1,495,0.000000,"dtype:B32,XN:X30=0x1080b0,IMM:0xe68,#POST:0,#IMM_TYPE:ONE,"
STI_XN_IMM,0x10d11104,SCALAR,1,495,0.000000,"dtype:B32,XN:X30=0x1080b0,IMM:0xe88,#POST:0,#IMM_TYPE:ONE,"
MOV_OUT_TO_L1_MULTI_ND2NZ,0x10d11610,MTE2,1,455,0.000000,"Src:OUT,Dst:L1,XD:X8=0x20,XN:X12=0x1154f600,XM:X13=0x4000400010,XT:X6=0x100400040,Dtype:B16,id:5"
MOV_OUT_TO_L1_MULTI_ND2NZ,0x10d115d4,MTE2,1,451,0.000000,"Src:OUT,Dst:L1,XD:X6=0,XN:X14=0x1154d400,XM:X12=0x4000400010,XT:X11=0x100400040,Dtype:B16,id:4"
MOV_OUT_TO_L1,0x10d1162c,MTE2,1,449,0.000000,"Src:OUT,Dst:L1,XD:X15=0x40,XN:X6=0x11551800,XM:X8=0x40010,id:6"
SET_FLAG,0x10d116c4,MTE2,1,387,0.000000,"PIPE:MTE2,TRIGGERPIPE:MTE1,FLAGID:0,"
SET_FLAG,0x10d116dc,MTE2,1,380,0.000000,"PIPE:MTE2,TRIGGERPIPE:MTE1,FLAGID:1,"
FIX_L0C_TO_DST,0x10d11ec4,FIXP,1,376,0.000000,"Src:L0C32,Dst:OUT,XD:X5=0x11551a00,XN:X2=0,XM:X3=0x4000400400,XT:X4=0x80000000040,id:17"
SET_FLAG,0x10d116e4,MTE2,1,375,0.000000,"PIPE:MTE2,TRIGGERPIPE:MTE1,FLAGID:2,"
WAIT_FLAG,0x10d11700,MTE1,1,367,0.000000,"PIPE:MTE2,TRIGGERPIPE:MTE1,FLAGID:0,"
SET_FLAG,0x10d11ee4,FIXP,1,365,0.000000,"PIPE:FIXP,TRIGGERPIPE:CUBE,FLAGID:0,"
LDP_XI_XJ_XN,0x10d11030,SCALAR,1,362,0.000000,"dtype:B64,XI:X1=0,XJ:X2=0,XN:X0=0x10537e00,IMM:0x10,"
LDP_XI_XJ_XN,0x10d11034,SCALAR,1,362,0.000000,"dtype:B64,XI:X5=0,XJ:X4=0,XN:X0=0x10537e00,IMM:0,"
LDP_XI_XJ_XN,0x10d11038,SCALAR,1,362,0.000000,"dtype:B32,XI:X3=0,XJ:X6=0,XN:X6=0x10537e24,IMM:0,"
LD_XD_XN_IMM,0x10d1103c,SCALAR,1,362,0.000000,"dtype:B32,XD:X7=0,XN:X0=0x10537e00,IMM:0x20,"
STP_XI_XJ_XN,0x10d11074,SCALAR,1,298,0.000000,"dtype:B64,XI:X0=0,XJ:X0=0,XN:X9=0x1079f8,IMM:0,"
STI_XN_IMM,0x10d11080,SCALAR,1,297,0.000000,"dtype:B64,XN:X30=0x1080b0,IMM:0x878,#POST:0,#IMM_TYPE:ZERO,"
STP_XI_XJ_XN,0x10d11084,SCALAR,1,296,0.000000,"dtype:B64,XI:X0=0,XJ:X0=0,XN:X8=0x107930,IMM:0,"
ST_XD_XN_IMM,0x10d11390,SCALAR,1,295,0.000000,"dtype:B32,XD:X5=0xc0,XN:X30=0x1080b0,IMM:0x940,"
STI_XN_IMM,0x10d1137c,SCALAR,1,293,0.000000,"dtype:B32,XN:X3=0x107a58,IMM:0xc,#POST:0,#IMM_TYPE:ALL_ONE,"
ST_XD_XN_IMM,0x10d11378,SCALAR,1,293,0.000000,"dtype:B32,XD:X7=0x80,XN:X3=0x107a58,IMM:0x8,"
ST_XD_XN_IMM,0x10d11060,SCALAR,1,291,0.000000,"dtype:B32,XD:X8=0x7ff80,XN:X30=0x1080b0,IMM:0xd80,"
STI_XN_IMM,0x10d110fc,SCALAR,1,290,0.000000,"dtype:B32,XN:X30=0x1080b0,IMM:0xe48,#POST:0,#IMM_TYPE:ONE,"
STI_XN_IMM,0x10d1106c,SCALAR,1,290,0.000000,"dtype:B8,XN:X30=0x1080b0,IMM:0xd84,#POST:0,#IMM_TYPE:ZERO,"
ST_XD_XN_IMM,0x10d112cc,SCALAR,1,289,0.000000,"dtype:B64,XD:X9=0x107a38,XN:X30=0x1080b0,IMM:0xde0,"
STI_XN_IMM,0x10d112c8,SCALAR,1,289,0.000000,"dtype:B64,XN:X30=0x1080b0,IMM:0xdd0,#POST:0,#IMM_TYPE:ONE,"
STI_XN_IMM,0x10d112e0,SCALAR,1,289,0.000000,"dtype:B32,XN:X9=0x107a38,IMM:0xc,#POST:0,#IMM_TYPE:ALL_ONE,"
ST_XD_XN_IMM,0x10d112d8,SCALAR,1,289,0.000000,"dtype:B32,XD:X7=0x20,XN:X9=0x107a38,IMM:0x8,"
