instr,addr,pipe,call_count,cycles,running_time(us),detail
MOV_OUT_TO_L1_MULTI_ND2NZ,0x10d115d4,MTE2,1,658,0.000000,"Src:OUT,Dst:L1,XD:X6=0,XN:X14=0x1154d400,XM:X12=0x100000010010,XT:X11=0x100101000,Dtype:B16,id:4"
STI_XN_IMM,0x10d11108,SCALAR,1,532,0.000000,"dtype:B32,XN:X30=0x1080b0,IMM:0xea8,#POST:0,#IMM_TYPE:ONE,"
STI_XN_IMM,0x10d11100,SCALAR,1,495,0.000000,"dtype:B32,XN:X30=0x1080b0,IMM:0xe68,#POST:0,#IMM_TYPE:ONE,"
STI_XN_IMM,0x10d11104,SCALAR,1,495,0.000000,"dtype:B32,XN:X30=0x1080b0,IMM:0xe88,#POST:0,#IMM_TYPE:ONE,"
LD_XD_XN_IMM,0x10d1103c,SCALAR,1,362,0.000000,"dtype:B32,XD:X7=0,XN:X0=0x10537e00,IMM:0x20,"
LDP_XI_XJ_XN,0x10d11038,SCALAR,1,362,0.000000,"dtype:B32,XI:X3=0,XJ:X6=0,XN:X6=0x10537e24,IMM:0,"
LDP_XI_XJ_XN,0x10d11034,SCALAR,1,362,0.000000,"dtype:B64,XI:X5=0,XJ:X4=0,XN:X0=0x10537e00,IMM:0,"
LDP_XI_XJ_XN,0x10d11030,SCALAR,1,362,0.000000,"dtype:B64,XI:X1=0,XJ:X2=0,XN:X0=0x10537e00,IMM:0x10,"
STP_XI_XJ_XN,0x10d11074,SCALAR,1,298,0.000000,"dtype:B64,XI:X0=0,XJ:X0=0,XN:X9=0x1079f8,IMM:0,"
STI_XN_IMM,0x10d11080,SCALAR,1,297,0.000000,"dtype:B64,XN:X30=0x1080b0,IMM:0x878,#POST:0,#IMM_TYPE:ZERO,"
STP_XI_XJ_XN,0x10d11084,SCALAR,1,296,0.000000,"dtype:B64,XI:X0=0,XJ:X0=0,XN:X8=0x107930,IMM:0,"
ST_XD_XN_IMM,0x10d11390,SCALAR,1,295,0.000000,"dtype:B32,XD:X5=0x22200,XN:X30=0x1080b0,IMM:0x940,"
