shape,M,N,K,total_time_us,line70_us,line71_us,line72_us,line73_us,missing_lines,csv_path
1x128x128,1,128,128,0.29000000000000004,0.05,0.11,0.04,0.09,,profile/1x128x128/OPPROF_20251111030746_XHPZHMDEYFGXPSZW/simulator/core0.cubecore0/core0.cubecore0_code_exe.csv
1x256x4096,1,256,4096,2.11,0.05,1.88,0.08,0.1,,profile/1x256x4096/OPPROF_20251111053551_ZPUYMBGWBRVQNFPH/simulator/core0.cubecore0/core0.cubecore0_code_exe.csv
1x1024x4096,1,1024,4096,5.47,0.05,5.09,0.2,0.13,,profile/1x1024x4096/OPPROF_20251111052425_BNVKPDDYVOXSVFFW/simulator/core0.cubecore0/core0.cubecore0_code_exe.csv
1x4096x4096,1,4096,4096,1.4700000000000002,0.05,1.29,0.05,0.08,,profile/1x4096x4096/OPPROF_20251111031333_PDWLCKFYRLBOQPHC/simulator/core0.cubecore0/core0.cubecore0_code_exe.csv
1x8192x8192,1,8192,8192,0.15000000000000002,0.05,0.1,0.0,0.0,"72,73",profile/1x8192x8192/OPPROF_20251111035630_KXONFDQMBPLYPNGJ/simulator/core0.cubecore0/core0.cubecore0_code_exe.csv
16x256x4096,16,256,4096,2.11,0.05,1.88,0.08,0.1,,profile/16x256x4096/OPPROF_20251111053721_HBHMEEHTNPQXKWOH/simulator/core0.cubecore0/core0.cubecore0_code_exe.csv
16x1024x4096,16,1024,4096,5.47,0.05,5.09,0.2,0.13,,profile/16x1024x4096/OPPROF_20251111053016_DLODWNNDVRXMRRMJ/simulator/core0.cubecore0/core0.cubecore0_code_exe.csv
16x4096x4096,16,4096,4096,1.4700000000000002,0.05,1.29,0.05,0.08,,profile/16x4096x4096/OPPROF_20251111032833_LNOGIEKOZNZHZEHY/simulator/core0.cubecore0/core0.cubecore0_code_exe.csv
16x4096x11008,16,4096,11008,3.61,0.05,3.43,0.05,0.08,,profile/16x4096x11008/OPPROF_20260226000758_BBPLOSBWXJYYGUIR/simulator/core0.cubecore0/core0.cubecore0_code_exe.csv
16x8192x8192,16,8192,8192,2.76,0.05,2.58,0.05,0.08,,profile/16x8192x8192/OPPROF_20251111043248_PIHRYUMQQCZWCMOA/simulator/core0.cubecore0/core0.cubecore0_code_exe.csv
16x8192x28672,16,8192,28672,9.360000000000001,0.05,9.18,0.05,0.08,,profile/16x8192x28672/OPPROF_20260226011507_ETZKNISYFJADLZWV/simulator/core0.cubecore0/core0.cubecore0_code_exe.csv
16x11008x4096,16,11008,4096,13.55,0.05,12.6,0.44,0.46,,profile/16x11008x4096/OPPROF_20251111060037_POYCZNUEKGZJSSPI/simulator/core0.cubecore0/core0.cubecore0_code_exe.csv
32x32x32,32,32,32,0.22000000000000003,0.05,0.05,0.04,0.08,,profile/32x32x32/OPPROF_20251111031019_IVLHCOSZRTRRVPNR/simulator/core0.cubecore0/core0.cubecore0_code_exe.csv
64x64x64,64,64,64,0.23,0.05,0.05,0.04,0.09,,profile/64x64x64/OPPROF_20251111031037_IHVTLGSLASRATXGO/simulator/core0.cubecore0/core0.cubecore0_code_exe.csv
