csv,dataLength,meas_us,file_total_us,grand_total_us,present_lines,found_lines,note,pred_us,residual_us
./results/core0.veccore0_code_exe_len256.csv,256,0.1,0.5,1.04,"[0, 21, 23, 26, 28, 29, 31, 32, 36, 37, 38, 44, 45, 46, 50, 51, 52, 55, 56, 60, 61, 62]",[37],,0.0861200983629878,0.013879901637012207
./results/core0.veccore0_code_exe_len1024.csv,1024,0.13,0.5900000000000001,1.11,"[0, 21, 23, 26, 28, 29, 31, 32, 36, 37, 38, 44, 45, 46, 50, 51, 52, 55, 56, 60, 61, 62]",[37],,0.13962707420918385,-0.00962707420918385
./results/core0.veccore0_code_exe_len2048.csv,2048,0.16,0.67,1.31,"[0, 21, 23, 26, 28, 29, 31, 32, 36, 37, 38, 44, 45, 46, 50, 51, 52, 55, 56, 60, 61, 62]",[37],,0.21096970867077863,-0.05096970867077863
./results/core0.veccore0_code_exe_len4096.csv,4096,0.33,1.14,2.21,"[0, 21, 23, 26, 28, 29, 31, 32, 36, 37, 38, 44, 45, 46, 50, 51, 52, 55, 56, 60, 61, 62]",[37],,0.35365497759396813,-0.02365497759396812
./results/core0.veccore0_code_exe_len8192.csv,8192,0.66,1.6200000000000003,2.88,"[0, 21, 23, 26, 28, 29, 31, 32, 36, 37, 38, 44, 45, 46, 50, 51, 52, 55, 56, 60, 61, 62]",[37],,0.6390255154403472,0.020974484559652784
./results/core0.veccore0_code_exe_len11008.csv,11008,0.85,2.0,3.6,"[0, 21, 23, 26, 28, 29, 31, 32, 36, 37, 38, 44, 45, 46, 50, 51, 52, 55, 56, 60, 61, 62]",[37],,0.8352177602097328,0.01478223979026716
./results/core0.veccore0_code_exe_len13824.csv,13824,1.04,2.38,4.5200000000000005,"[0, 21, 23, 26, 28, 29, 31, 32, 36, 37, 38, 44, 45, 46, 50, 51, 52, 55, 56, 60, 61, 62]",[37],,1.0314100049791184,0.008589995020881647
./results/core0.veccore0_code_exe_len14336.csv,14336,1.07,2.4399999999999995,4.630000000000001,"[0, 21, 23, 26, 28, 29, 31, 32, 36, 37, 38, 44, 45, 46, 50, 51, 52, 55, 56, 60, 61, 62]",[37],,1.0670813222099158,0.0029186777900842564
./results/core0.veccore0_code_exe_len16384.csv,16384,1.28,2.8499999999999996,5.34,"[0, 21, 23, 26, 28, 29, 31, 32, 36, 37, 38, 44, 45, 46, 50, 51, 52, 55, 56, 60, 61, 62]",[37],,1.2097665911331053,0.07023340886689478
./results/core0.veccore0_code_exe_len28672.csv,28672,2.04,4.39,8.790000000000001,"[0, 21, 23, 26, 28, 29, 31, 32, 36, 37, 38, 44, 45, 46, 50, 51, 52, 55, 56, 60, 61, 62]",[37],,2.0658782046722424,-0.025878204672242333
./results/core0.veccore0_code_exe_len32768.csv,32768,2.33,4.959999999999999,9.940000000000001,"[0, 21, 23, 26, 28, 29, 31, 32, 36, 37, 38, 44, 45, 46, 50, 51, 52, 55, 56, 60, 61, 62]",[37],,2.3512487425186217,-0.021248742518621633
