code,call_count,cycles,running_time(us)
/root/TriForm/measurements/ascendc/mmad/build/auto_gen/ascendc_kernels_sim/auto_gen_mmad_custom.cpp:39,2412,1044349,16.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom.cpp:23,2011,964634,17.410000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:69,149,492834,0.080000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:71,1487,270268,9.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:160,1024,266288,9.200000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:70,94,99645,0.050000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:114,17,98429,0.010000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:116,12,98410,0.010000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:121,19,98372,0.010000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:111,11,98336,0.010000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:115,14,98333,0.020000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:113,6,98326,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:74,45,64044,0.040000
/root/TriForm/measurements/ascendc/mmad/mmad_custom.cpp:24,169,62506,0.130000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:18,169,62506,0.130000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:73,154,33183,9.020000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:204,13,31894,16.959999
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:194,18,31547,0.010000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:186,12,16416,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:178,21,15513,0.010000
/root/TriForm/measurements/ascendc/mmad/mmad_custom.cpp:20,63,7982,0.020000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:26,63,7982,0.020000
/root/TriForm/measurements/ascendc/mmad/mmad_custom.cpp:22,134,7767,0.050000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:72,82,4660,0.340000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:163,13,1748,0.010000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:64,17,1733,0.010000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:63,21,1717,0.010000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:170,8,1715,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:164,12,1694,0.010000
/root/TriForm/measurements/ascendc/mmad/build/auto_gen/ascendc_kernels_sim/auto_gen_mmad_custom.cpp:22,16,1462,0.010000
/root/TriForm/measurements/ascendc/mmad/mmad_custom.cpp:21,34,1459,0.010000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:171,16,1362,0.010000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:172,13,1315,0.030000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:62,15,1241,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:61,16,692,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:60,17,657,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:59,24,621,0.010000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:205,11,592,0.030000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:65,18,547,0.010000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:99,10,545,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:139,13,445,0.010000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:30,3,427,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:140,12,404,0.010000
/root/TriForm/measurements/ascendc/mmad/build/auto_gen/ascendc_kernels_sim/auto_gen_mmad_custom.cpp:40,17,308,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:179,23,294,0.020000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:136,8,291,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:159,385,256,0.140000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:50,1,220,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:31,7,215,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:33,6,207,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:35,5,204,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:38,3,199,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:40,2,198,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:190,12,185,0.010000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:188,13,170,0.030000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:187,16,161,0.010000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:144,19,161,0.010000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:189,12,152,0.030000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:177,17,151,0.010000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:84,22,151,0.010000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:49,1,150,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:48,1,150,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:86,20,145,0.010000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:168,19,137,0.010000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:85,22,129,0.010000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:169,23,128,0.010000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:180,22,127,0.010000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:122,21,100,0.010000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:145,20,95,0.010000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:0,29,39,0.010000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:47,1,37,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:79,9,9,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:96,3,6,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:91,2,6,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:155,2,6,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:182,2,6,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:108,2,6,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:197,1,5,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:132,1,5,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:183,1,5,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:135,7,5,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:196,1,5,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:104,1,5,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:148,1,5,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:125,1,5,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:32,4,4,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:39,1,2,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:34,1,1,0.000000
/root/TriForm/measurements/ascendc/mmad/mmad_custom_cube_only.h:36,1,1,0.000000
