op_label,seqlen,vector_dim,matrix_col,predicted_cycles,actual_cycles,error,rel_error
score,16,,,3097.000,4672.000,1575.000,0.337115
score,32,,,5418.000,4672.000,-746.000,-0.159675
score,48,,,7739.000,9344.000,1605.000,0.171768
score,64,,,10061.000,9344.000,-717.000,-0.076734
score,80,,,12382.000,14016.000,1634.000,0.116581
score,96,,,14704.000,14016.000,-688.000,-0.049087
score,112,,,17026.000,18688.000,1662.000,0.088934
score,128,,,19348.000,18688.000,-660.000,-0.035317
score,160,,,23992.000,23360.000,-632.000,-0.027055
score,192,,,28636.000,28032.000,-604.000,-0.021547
score,224,,,33281.000,32704.000,-577.000,-0.017643
score,256,,,37926.000,37376.000,-550.000,-0.014715
score,320,,,47218.000,46720.000,-498.000,-0.010659
score,384,,,56511.000,56064.000,-447.000,-0.007973
score,448,,,65806.000,65408.000,-398.000,-0.006085
score,512,,,75103.000,74752.000,-351.000,-0.004696
score,640,,,93701.000,93440.000,-261.000,-0.002793
score,768,,,112306.000,112128.000,-178.000,-0.001587
score,896,,,130917.000,130816.000,-101.000,-0.000772
score,1024,,,149535.000,149504.000,-31.000,-0.000207
score,1280,,,186791.000,186880.000,89.000,0.000476
score,1536,,,224073.000,224256.000,183.000,0.000816
score,1792,,,261381.000,261632.000,251.000,0.000959
score,2048,,,298716.000,299008.000,292.000,0.000977
score,2560,,,373465.000,373760.000,295.000,0.000789
score,3072,,,448319.000,448512.000,193.000,0.000430
score,3584,,,523278.000,523264.000,-14.000,-0.000027
score,4096,,,598343.000,598016.000,-327.000,-0.000547
output,16,,,11500.000,20496.000,8996.000,0.438915
output,32,,,12976.000,20768.000,7792.000,0.375193
output,48,,,14452.000,21040.000,6588.000,0.313118
output,64,,,15928.000,21312.000,5384.000,0.252628
output,80,,,17404.000,21584.000,4180.000,0.193662
output,96,,,18880.000,21856.000,2976.000,0.136164
output,112,,,20357.000,22128.000,1771.000,0.080034
output,128,,,21833.000,22400.000,567.000,0.025313
output,160,,,24785.000,22944.000,-1841.000,-0.080239
output,192,,,27737.000,23488.000,-4249.000,-0.180901
output,224,,,30690.000,24032.000,-6658.000,-0.277047
output,256,,,33642.000,24576.000,-9066.000,-0.368896
output,320,,,39546.000,45888.000,6342.000,0.138206
output,384,,,45451.000,46976.000,1525.000,0.032463
output,448,,,51356.000,48064.000,-3292.000,-0.068492
output,512,,,57260.000,49152.000,-8108.000,-0.164958
output,640,,,69069.000,71552.000,2483.000,0.034702
output,768,,,80878.000,73728.000,-7150.000,-0.096978
output,896,,,92688.000,96128.000,3440.000,0.035786
output,1024,,,104497.000,98304.000,-6193.000,-0.062998
output,1280,,,128115.000,122880.000,-5235.000,-0.042603
output,1536,,,151733.000,147456.000,-4277.000,-0.029005
output,1792,,,175352.000,172032.000,-3320.000,-0.019299
output,2048,,,198970.000,196608.000,-2362.000,-0.012014
output,2560,,,246206.000,245760.000,-446.000,-0.001815
output,3072,,,293443.000,294912.000,1469.000,0.004981
output,3584,,,340680.000,344064.000,3384.000,0.009835
output,4096,,,387916.000,393216.000,5300.000,0.013479
weight,,64,64,210.000,285.000,75.000,0.263158
weight_af,,64,64,396.000,471.000,75.000,0.159236
weight,,64,128,383.000,507.000,124.000,0.244576
weight_af,,64,128,569.000,693.000,124.000,0.178932
weight,,64,192,557.000,729.000,172.000,0.235940
weight_af,,64,192,743.000,915.000,172.000,0.187978
weight,,64,256,730.000,951.000,221.000,0.232387
weight_af,,64,256,916.000,1137.000,221.000,0.194371
weight,,64,384,1076.000,1395.000,319.000,0.228674
weight_af,,64,384,1262.000,1581.000,319.000,0.201771
weight,,64,512,1422.000,1839.000,417.000,0.226754
weight_af,,64,512,1608.000,2025.000,417.000,0.205926
weight,,64,768,2115.000,2727.000,612.000,0.224422
weight_af,,64,768,2301.000,2913.000,612.000,0.210093
weight,,64,1024,2808.000,3615.000,807.000,0.223237
weight_af,,64,1024,2994.000,3801.000,807.000,0.212313
weight,,64,1536,4193.000,5446.000,1253.000,0.230077
weight_af,,64,1536,4379.000,5632.000,1253.000,0.222479
weight,,64,2048,5578.000,7222.000,1644.000,0.227638
weight_af,,64,2048,5764.000,7408.000,1644.000,0.221922
weight,,64,3072,8349.000,10829.000,2480.000,0.229015
weight_af,,64,3072,8535.000,11015.000,2480.000,0.225148
weight,,64,4096,11119.000,14436.000,3317.000,0.229773
weight_af,,64,4096,11305.000,14622.000,3317.000,0.226850
weight,,96,64,248.000,297.000,49.000,0.164983
weight_af,,96,64,434.000,483.000,49.000,0.101449
weight,,96,128,451.000,527.000,76.000,0.144213
weight_af,,96,128,637.000,713.000,76.000,0.106592
weight,,96,192,653.000,757.000,104.000,0.137384
weight_af,,96,192,839.000,943.000,104.000,0.110286
weight,,96,256,856.000,987.000,131.000,0.132725
weight_af,,96,256,1042.000,1173.000,131.000,0.111679
weight,,96,384,1262.000,1447.000,185.000,0.127851
weight_af,,96,384,1448.000,1633.000,185.000,0.113288
weight,,96,512,1667.000,1907.000,240.000,0.125852
weight_af,,96,512,1853.000,2093.000,240.000,0.114668
weight,,96,768,2478.000,2827.000,349.000,0.123452
weight_af,,96,768,2664.000,3013.000,349.000,0.115831
weight,,96,1024,3290.000,3747.000,457.000,0.121964
weight_af,,96,1024,3476.000,3933.000,457.000,0.116196
weight,,96,1536,4912.000,5642.000,730.000,0.129387
weight_af,,96,1536,5098.000,5828.000,730.000,0.125257
weight,,96,2048,6534.000,7482.000,948.000,0.126704
weight_af,,96,2048,6720.000,7668.000,948.000,0.123631
weight,,96,3072,9778.000,11217.000,1439.000,0.128287
weight_af,,96,3072,9964.000,11403.000,1439.000,0.126195
weight,,96,4096,13022.000,14952.000,1930.000,0.129080
weight_af,,96,4096,13208.000,15138.000,1930.000,0.127494
weight,,128,64,286.000,309.000,23.000,0.074434
weight_af,,128,64,472.000,495.000,23.000,0.046465
weight,,128,128,518.000,547.000,29.000,0.053016
weight_af,,128,128,704.000,733.000,29.000,0.039563
weight,,128,192,750.000,785.000,35.000,0.044586
weight_af,,128,192,936.000,971.000,35.000,0.036045
weight,,128,256,983.000,1023.000,40.000,0.039101
weight_af,,128,256,1169.000,1209.000,40.000,0.033085
weight,,128,384,1448.000,1499.000,51.000,0.034023
weight_af,,128,384,1634.000,1685.000,51.000,0.030267
weight,,128,512,1912.000,1975.000,63.000,0.031899
weight_af,,128,512,2098.000,2161.000,63.000,0.029153
weight,,128,768,2842.000,2927.000,85.000,0.029040
weight_af,,128,768,3028.000,3113.000,85.000,0.027305
weight,,128,1024,3771.000,3879.000,108.000,0.027842
weight_af,,128,1024,3957.000,4065.000,108.000,0.026568
