shape,M,N,K,total_time_us,line70_us,line71_us,line72_us,line73_us
1x128x128,1,128,128,0.145,0.025,0.055,0.02,0.045
1x256x4096,1,256,4096,1.055,0.025,0.94,0.04,0.05
1x1024x4096,1,1024,4096,2.735,0.025,2.545,0.1,0.065
1x4096x4096,1,4096,4096,0.475,0.025,0.38,0.025,0.04
1x8192x8192,1,8192,8192,0.84,0.025,0.745,0.025,0.04
16x256x4096,16,256,4096,1.055,0.025,0.94,0.04,0.05
16x1024x4096,16,1024,4096,2.735,0.025,2.545,0.1,0.065
16x4096x4096,16,4096,4096,0.475,0.025,0.38,0.025,0.04
16x8192x8192,16,8192,8192,0.84,0.025,0.745,0.025,0.04
16x11008x4096,16,11008,4096,6.775,0.025,6.3,0.22,0.23
32x32x32,32,32,32,0.11,0.025,0.025,0.02,0.04
64x64x64,64,64,64,0.115,0.025,0.025,0.02,0.045
128x128x128,128,128,128,0.41,0.21,0.084,0.085,0.03
128x1023x1024,128,1023,1024,11.49,0.21,2.26,0.1,8.92
128x1024x1023,128,1024,1023,11.49,0.21,2.26,0.1,8.92
128x1025x1024,128,1025,1024,11.66,0.21,2.29,0.1,9.105
128x4096x4096,128,4096,4096,0.485,0.035,0.38,0.025,0.04
128x11008x4096,128,11008,4096,6.785,0.035,6.3,0.22,0.23
256x256x256,256,256,256,1.93,0.165,0.29,0.04,1.435
129x113x91,129,113,91,0.37,0.06,0.06,0.03,0.22
129x113x91,129,113,91,0.37,0.06,0.06,0.03,0.22
