shape,M,N,K,total_time_us,runlog_max_us,missing_lines,csv_path,runlog_duration_max_us,n_rows,n_veccore_rows
1x1x1536,1,1,1536,0.19,0.19,,profile/rmsnorm/1x1x1536/run.log,0.8,1,1
1x1x4096,1,1,4096,0.37,0.2,,profile/rmsnorm/1x1x4096/run.log,0.84,2,2
1x1x8192,1,1,8192,0.37,0.37,,profile/rmsnorm/1x1x8192/run.log,0.84,4,4
1x8x1536,1,8,1536,0.39,0.39,,profile/rmsnorm/1x8x1536/run.log,0.85,6,6
1x8x4096,1,8,4096,0.38,0.38,,profile/rmsnorm/1x8x4096/run.log,0.85,16,16
1x8x8192,1,8,8192,0.2,0.2,,profile/rmsnorm/1x8x8192/run.log,0.85,32,32
1x11x1536,1,11,1536,0.38,0.38,,profile/rmsnorm/1x11x1536/run.log,0.84,9,9
1x11x4096,1,11,4096,0.39,0.39,,profile/rmsnorm/1x11x4096/run.log,0.85,22,22
1x11x8192,1,11,8192,0.38,0.38,,profile/rmsnorm/1x11x8192/run.log,0.85,44,44
1x64x256,1,64,256,0.38,0.38,,profile/rmsnorm/1x64x256/run.log,0.85,8,8
1x64x1536,1,64,1536,0.2,0.2,,profile/rmsnorm/1x64x1536/run.log,0.85,48,48
1x64x4096,1,64,4096,0.5,0.5,,profile/rmsnorm/1x64x4096/run.log,1.26,48,48
1x64x8192,1,64,8192,0.77,0.77,,profile/rmsnorm/1x64x8192/run.log,1.53,48,48
1x512x1536,1,512,1536,1.01,1.01,,profile/rmsnorm/1x512x1536/run.log,1.88,48,48
1x512x4096,1,512,4096,3.64,3.64,,profile/rmsnorm/1x512x4096/run.log,5.28,48,48
1x512x8192,1,512,8192,5.56,5.56,,profile/rmsnorm/1x512x8192/run.log,11.5,48,48
1x2048x1536,1,2048,1536,4.24,2.99,,profile/rmsnorm/1x2048x1536/run.log,7.86,48,48
1x2048x4096,1,2048,4096,3.57,3.57,,profile/rmsnorm/1x2048x4096/run.log,13.72,48,48
1x2048x8192,1,2048,8192,21.19,21.19,,profile/rmsnorm/1x2048x8192/run.log,44.67,48,48
