Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,20,4096,1,20,decoding,10.202938423375,367.9487438160365,335.0069853946161,195.3587834145732
Llama2-13B,20,4096,1,20,end2end,11.065036278142856,396.3363147749992,333.7599071923298,211.736691233416
Llama2-13B,20,4096,1,20,prefill,0.862097854767857,595.0493114877384,325.0303597763263,326.3820459653154
Llama2-13B,20,4096,2,10,decoding,10.340540243375,725.158254063774,194.90699326650025,220.2684898953949
Llama2-13B,20,4096,2,10,end2end,11.222295501,779.9469455571059,193.68018643893,237.075287019836
Llama2-13B,20,4096,2,10,prefill,0.8817552576250001,1163.467786010428,185.09253864593865,354.72286689092334
Llama2-13B,20,4096,4,5,decoding,11.490411439749998,1299.6373852747545,166.87817067959054,315.9505315161644
Llama2-13B,20,4096,4,5,end2end,12.516597668285714,1386.9904706768953,165.56446263655783,334.68962151859955
Llama2-13B,20,4096,4,5,prefill,1.0261862285357142,1998.4620684918789,156.36850633532865,465.86325153564593
Llama2-13B,20,4096,5,4,decoding,12.2628495355,1514.987073563091,170.27380830742842,364.3572030529914
Llama2-13B,20,4096,5,4,end2end,13.392771949142857,1609.1375552453806,168.9297817675938,383.2935278049884
Llama2-13B,20,4096,5,4,prefill,1.129922413642857,2268.190927021409,159.52159598875124,515.8478010689672
Llama2-13B,20,4096,10,2,decoding,14.866854592624998,2480.3066984040174,148.123965161255,478.1336457731171
Llama2-13B,20,4096,10,2,end2end,16.31588081442857,2612.2461757238484,146.5252278221754,495.569414166347
Llama2-13B,20,4096,10,2,prefill,1.4490262218035714,3535.822516962668,135.33406644861822,617.6197929189567
Llama2-13B,20,4096,20,1,decoding,20.516904405750008,3559.780407016127,144.5551610665335,611.3498900201275
Llama2-13B,20,4096,20,1,end2end,22.66728677228572,3710.23545450098,142.44091881132655,623.6767589706474
Llama2-13B,20,4096,20,1,prefill,2.150382366535715,4763.420786894956,127.64122302487804,709.9648416242869
Llama2-13B,20,4096,40,1,decoding,37.24922190475,3931.419968777708,138.06940348983943,614.7187034613358
Llama2-13B,20,4096,40,1,end2end,41.064279205428576,4111.441216820385,136.17841972503226,627.9398246515727
Llama2-13B,20,4096,40,1,prefill,3.815057300678572,5371.589953119132,122.94153337138196,720.4876729832306
Llama2-70B,32,4096,1,32,decoding,37.02954112200001,102.40034837134058,1838.9895016098849,295.23752170655706
Llama2-70B,32,4096,1,32,end2end,39.98553380800001,111.29844523361437,1831.228741722672,326.2911381217756
Llama2-70B,32,4096,1,32,prefill,2.9559926860000005,173.5851232695308,1776.9034225121852,543.6664530283056
Llama2-70B,32,4096,2,16,decoding,37.94447999650001,199.2842707706744,1156.880348630635,351.9858277944101
Llama2-70B,32,4096,2,16,end2end,41.03117823600001,215.9248935150034,1149.2233781819682,384.6984359997937
Llama2-70B,32,4096,2,16,prefill,3.0866982395,332.4092527253069,1095.6245850413038,613.6866934374787
Llama2-70B,32,4096,4,8,decoding,40.68784633375001,368.9407399155388,900.048099497593,479.69537842609896
Llama2-70B,32,4096,4,8,end2end,44.16645405,396.53156885437943,892.4430237681995,514.43075090193
Llama2-70B,32,4096,4,8,prefill,3.4786077162499995,589.6673714262649,839.2074936624466,757.5783582327466
Llama2-70B,32,4096,8,4,decoding,47.56378595575,625.2988994444388,798.7044587772754,666.3717115008407
Llama2-70B,32,4096,8,4,end2end,51.947244657999995,664.0548834830627,790.7724293178353,699.7708990798185
Llama2-70B,32,4096,8,4,prefill,4.38345870225,935.3467717534292,735.2482231017547,933.5652121326636
Llama2-70B,32,4096,16,2,decoding,61.396463561625,957.0386241251242,752.5283890818746,876.5780800708073
Llama2-70B,32,4096,16,2,end2end,67.60116685899999,1002.5263557150612,743.9035311228861,902.9367790099791
Llama2-70B,32,4096,16,2,prefill,6.204703297375,1320.9404768446211,683.5295254099666,1087.4476715841795
Llama2-70B,32,4096,32,1,decoding,89.7163195114375,1295.7507846070814,743.6477817509459,1076.2600150229084
Llama2-70B,32,4096,32,1,end2end,99.6570121045,1339.8434021267963,733.6178024626881,1091.3756323430184
Llama2-70B,32,4096,32,1,prefill,9.940692593062504,1648.4917247648011,663.4079474448821,1197.1849535837891
Llama2-70B,32,4096,80,1,decoding,251.828570072625,1150.7837076321946,698.6650206127755,861.901752583774
Llama2-70B,32,4096,80,1,end2end,280.56930504300004,1185.1364872703944,692.9529355925071,874.2560501858256
Llama2-70B,32,4096,80,1,prefill,28.740734970374994,1425.6059447377925,652.9683404506279,960.7361334001864
Llama2-7B,8,4096,1,8,decoding,6.262046779083334,598.4995371934425,100.11482173914276,92.85903549554972
Llama2-7B,8,4096,1,8,end2end,6.795989644666666,643.7881061593116,99.51154821861248,99.65899767544816
Llama2-7B,8,4096,1,8,prefill,0.5339428655833333,960.8080889203944,95.28863357490064,147.2587329347371
Llama2-7B,8,4096,2,4,decoding,7.068363813833333,1055.4839349060908,86.01143952412488,131.8009303924417
Llama2-7B,8,4096,2,4,end2end,7.700567814666667,1126.3012238395554,85.33055065178172,139.3411196392686
Llama2-7B,8,4096,2,4,prefill,0.6322040008333333,1622.0222463738078,80.56432854537957,192.1224443670569
Llama2-7B,8,4096,4,2,decoding,8.587077300166667,1723.206069633077,77.51666441360676,179.16514071242412
Llama2-7B,8,4096,4,2,end2end,9.402386345333332,1822.063566614493,76.67276062974682,186.48136905403857
Llama2-7B,8,4096,4,2,prefill,0.8153090451666666,2514.066045484409,70.76543414272729,237.6949674453392
Llama2-7B,8,4096,8,1,decoding,11.749399504833336,2493.220509006737,76.45395699226674,234.0113610423189
Llama2-7B,8,4096,8,1,end2end,12.948760814666668,2608.6293736474013,75.28007945781219,239.5069620527109
Llama2-7B,8,4096,8,1,prefill,1.1993613098333331,3416.4914261320523,67.06293671663036,277.9761691254555
Llama2-7B,8,4096,32,1,decoding,41.35549496713889,2850.5482024687904,71.41997750473598,234.6160948759941
Llama2-7B,8,4096,32,1,end2end,45.36905090644445,3005.0137438295624,70.27906009431382,240.6071684584195
Llama2-7B,8,4096,32,1,prefill,4.013555939305555,4086.272533354968,62.29263822135864,282.54468353539767
