Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,20,1,20,32,32,128,0.0232955,0.0094062218148367,0.00290525,0.0356069718148367,0.010106,1.5843848725934708,631.1597751896643,324.29956322899847,348.0281204835681,1.0
Llama2-13B,20,1,20,32,32,256,0.0244155,0.0094062218148367,0.00345525,0.0372769718148367,0.010106,1.6511848725934708,605.6257034558023,324.78690048215907,332.5622048311104,1.0
Llama2-13B,20,1,20,32,32,384,0.025498,0.0094062218148367,0.00400525,0.0389094718148367,0.010106,1.716484872593471,582.5859673840762,325.2738419658187,318.9209369027165,1.0
Llama2-13B,20,1,20,32,32,512,0.026613,0.0094062218148367,0.00455525,0.0405744718148367,0.010106,1.7830848725934711,560.8257999214106,325.761133428329,306.01692164386674,1.0
Llama2-13B,20,1,20,32,32,640,0.0277755,0.0094062218148367,0.00510525,0.0422869718148367,0.010106,1.8515848725934707,540.0778623770693,326.2489597956404,293.64814296379944,1.0
Llama2-13B,20,1,20,32,32,768,0.0288955,0.0094062218148367,0.00565525,0.0439569718148367,0.010106,1.918384872593471,521.2718335544924,326.73629704880085,282.6878727213589,1.0
Llama2-13B,20,1,20,32,32,896,0.029978,0.0094062218148367,0.00620525,0.0455894718148367,0.010106,1.983684872593471,504.11232843279146,327.2232385324605,272.88614861937134,1.0
Llama2-13B,20,1,20,32,32,1024,0.031093,0.0094062218148367,0.00675525,0.0472544718148367,0.010106,2.050284872593471,487.7371010083433,327.710529994971,263.4922088532557,1.0
Llama2-13B,20,1,20,32,32,1152,0.0336455,0.0094062218148367,0.00730525,0.0503569718148367,0.010106,2.1743848725934707,459.900182623724,329.5100057415575,244.839581624257,1.0
Llama2-13B,20,1,20,32,32,1280,0.0347655,0.0094062218148367,0.00785525,0.0520269718148367,0.010106,2.241184872593471,446.1925529788234,329.997342994718,237.30231335283403,1.0
Llama2-13B,20,1,20,32,32,1408,0.035848,0.0094062218148367,0.00840525,0.0536594718148367,0.010106,2.3064848725934706,433.5601815049298,330.48428447837773,230.47609662908505,1.0
Llama2-13B,20,1,20,32,32,1536,0.036963,0.0094062218148367,0.00895525,0.0553244718148367,0.010106,2.373084872593471,421.392429553997,330.9715759408881,223.85329649980247,1.0
Llama2-13B,20,1,20,32,32,1664,0.0381255,0.0094062218148367,0.00950525,0.0570369718148367,0.010106,2.441584872593471,409.57003429407393,331.45940230819946,217.3475772830517,1.0
Llama2-13B,20,1,20,32,32,1792,0.0392455,0.0094062218148367,0.01005525,0.0587069718148367,0.010106,2.5083848725934708,398.662904933755,331.94673956136006,211.45528758797823,1.0
Llama2-13B,20,1,20,32,32,1920,0.040328,0.0094062218148367,0.0106052499999999,0.0603394718148367,0.010106,2.573684872593471,388.5479573077306,332.4336810450197,206.0811849366567,1.0
Llama2-13B,20,1,20,32,32,2048,0.041443,0.0094062218148367,0.01115525,0.0620044718148367,0.010106,2.6402848725934707,378.7470096049639,332.92097250753,200.8306423928831,1.0
Llama2-13B,20,1,20,32,32,2176,0.0439635,0.0094062218148367,0.0117052499999999,0.0650749718148367,0.010106,2.763104872593471,361.9117066162576,334.6393620725752,190.29385858301504,1.0
Llama2-13B,20,1,20,32,32,2304,0.0450835,0.0094062218148367,0.01225525,0.0667449718148367,0.010106,2.8299048725934703,353.36876857049566,335.12669932573573,185.83666936114983,1.0
Llama2-13B,20,1,20,32,32,2432,0.046166,0.0094062218148367,0.0128052499999999,0.0683774718148367,0.010106,2.895204872593471,345.3987002668376,335.61364080939546,181.74286315112613,1.0
