phase,node_id,op,device,device_type,mode,start,end,duration,_row,step,layer,shard,schedule,schedule_duration_s,schedule_duration_scaled_s,merged_duration_scaled_s,delta_scaled_s,ratio_scaled,missing_segments_row_scope
prefill,L0_LN,LN,GPU0,npu,NAIVE,0.0,0.000314640625,0.000314640625,0,-1,0,-1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.000314640625,0.000314640625,5.873043375695086e-05,-0.0002559101912430491,0.1866587754106796,0
prefill,L0_Q_s0,Q,PIM0,pim,NAIVE,0.015327608275,0.1612260913697916,0.1458984830947916,1,-1,0,0,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.1458984830947916,0.1458984830947916,0.004533315350173848,-0.14136516774461774,0.031071709958961746,0
prefill,L0_K_s0,K,PIM0,pim,NAIVE,0.1612260913697916,0.3071245744645833,0.1458984830947916,2,-1,0,0,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.1458984830947916,0.1458984830947916,0.004533315350173848,-0.14136516774461774,0.031071709958961746,0
prefill,L0_V_s0,V,PIM0,pim,NAIVE,0.3071245744645833,0.453023057559375,0.1458984830947917,3,-1,0,0,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.1458984830947917,0.1458984830947917,0.004533315350173852,-0.14136516774461785,0.031071709958961753,0
prefill,L0_Q_s1,Q,PIM1,pim,NAIVE,0.015327608275,0.1612260913697916,0.1458984830947916,4,-1,0,1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.1458984830947916,0.1458984830947916,0.004533315350173847,-0.14136516774461774,0.03107170995896174,0
prefill,L0_K_s1,K,PIM1,pim,NAIVE,0.1612260913697916,0.3071245744645833,0.1458984830947916,5,-1,0,1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.1458984830947916,0.1458984830947916,0.004533315350173847,-0.14136516774461774,0.03107170995896174,0
prefill,L0_V_s1,V,PIM1,pim,NAIVE,0.3071245744645833,0.453023057559375,0.1458984830947917,6,-1,0,1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.1458984830947917,0.1458984830947917,0.00453331535017385,-0.14136516774461785,0.031071709958961743,0
prefill,L0_K_write_s0,K_write,PIM0,pim,NAIVE,0.453023057559375,0.453145937559375,0.0001228799999999,7,-1,0,0,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.0001228799999999,0.0001228799999999,0.0001228799999999,0.0,1.0,0
prefill,L0_QK_s0,QK,GPU0,npu,NAIVE,0.3146521882895833,0.3150926055844666,0.0004404172948833,8,-1,0,0,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.0004404172948833,0.0004404172948833,8.220775293260093e-05,-0.00035820954195069907,0.18665877541067957,0
prefill,L0_V_write_s0,V_write,PIM0,pim,NAIVE,0.453145937559375,0.453268817559375,0.0001228799999999,9,-1,0,0,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.0001228799999999,0.0001228799999999,0.0001228799999999,0.0,1.0,0
prefill,L0_K_write_s1,K_write,PIM1,pim,NAIVE,0.453023057559375,0.453145937559375,0.0001228799999999,10,-1,0,1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.0001228799999999,0.0001228799999999,0.0001228799999999,0.0,1.0,0
prefill,L0_QK_s1,QK,GPU0,npu,NAIVE,0.3150926055844666,0.3155330228793499,0.0004404172948833,11,-1,0,1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.0004404172948833,0.0004404172948833,8.220775293260093e-05,-0.00035820954195069907,0.18665877541067957,0
prefill,L0_V_write_s1,V_write,PIM1,pim,NAIVE,0.453145937559375,0.453268817559375,0.0001228799999999,12,-1,0,1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.0001228799999999,0.0001228799999999,0.0001228799999999,0.0,1.0,0
prefill,L0_Softmax_s0,Softmax,GPU0,npu,NAIVE,0.3155330228793499,0.3160217809665081,0.0004887580871582,13,-1,0,0,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.0004887580871582,0.0004887580871582,9.12309860210158e-05,-0.0003975271011371842,0.18665877541067957,0
prefill,L0_Softmax_s1,Softmax,GPU0,npu,NAIVE,0.3160217809665081,0.3165105390536663,0.0004887580871582,14,-1,0,1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.0004887580871582,0.0004887580871582,9.12309860210158e-05,-0.0003975271011371842,0.18665877541067957,0
prefill,L0_SV_s0,SV,GPU0,npu,NAIVE,0.460550671384375,0.4609910886792583,0.0004404172948833,15,-1,0,0,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.0004404172948833,0.0004404172948833,8.220775293260093e-05,-0.00035820954195069907,0.18665877541067957,0
prefill,L0_SV_s1,SV,GPU0,npu,NAIVE,0.4609910886792583,0.4614315059741416,0.0004404172948833,16,-1,0,1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.0004404172948833,0.0004404172948833,8.220775293260093e-05,-0.00035820954195069907,0.18665877541067957,0
prefill,L0_O_s0,O,PIM0,pim,NAIVE,0.4684982225042583,0.60240361759905,0.1339053950947917,17,-1,0,0,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.1339053950947917,0.1339053950947917,0.004160669598325548,-0.12974472549646615,0.03107170995896175,0
prefill,L0_O_s1,O,PIM1,pim,NAIVE,0.4689386397991416,0.6028440348939333,0.1339053950947917,18,-1,0,1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.1339053950947917,0.1339053950947917,0.004160669598325547,-0.12974472549646618,0.031071709958961743,0
prefill,L0_AllReduce_O,ALLREDUCE,COMM,comm,COMM,0.6028440348939333,0.6111448161439333,0.00830078125,19,-1,0,-1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.00830078125,0.00830078125,0.00830078125,0.0,1.0,0
prefill,L0_Add1,Add,GPU0,npu,NAIVE,0.6300248007772666,0.6304047117147666,0.0003799109375,20,-1,0,-1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.0003799109375,0.0003799109375,7.091371035887322e-05,-0.0003089972271411268,0.18665877541067957,0
prefill,L0_LN2,LN,GPU0,npu,NAIVE,0.6304047117147666,0.6307193523397666,0.0003146406249999,21,-1,0,-1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.0003146406249999,0.0003146406249999,5.8730433756932196e-05,-0.00025591019124296784,0.1866587754106796,0
prefill,L0_FFN_W1_s0,FFN_W1,PIM0,pim,NAIVE,0.6457323199897665,1.0315334953070192,0.3858011753172526,22,-1,0,0,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.3858011753172526,0.3858011753172526,0.011987502221284228,-0.37381367309596836,0.031071709958961753,0
prefill,L0_FFN_W3_s0,FFN_W3,PIM1,pim,NAIVE,0.6457323199897665,1.0049258793070193,0.3591935593172527,23,-1,0,0,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.3591935593172527,0.3591935593172527,0.011160758094232797,-0.34803280122301994,0.031071709958961743,0
prefill,L0_FFN_W1_s1,FFN_W1,PIM1,pim,NAIVE,1.0049258793070193,1.3907270546242718,0.3858011753172525,24,-1,0,1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.3858011753172525,0.3858011753172525,0.011987502221284219,-0.3738136730959683,0.03107170995896174,0
prefill,L0_FFN_W3_s1,FFN_W3,PIM0,pim,NAIVE,1.0315334953070192,1.3907270546242716,0.3591935593172524,25,-1,0,1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.3591935593172524,0.3591935593172524,0.01116075809423279,-0.3480328012230196,0.031071709958961753,0
prefill,L0_SwiGLU_s0,SwiGLU,GPU0,npu,NAIVE,1.0517617637117067,1.0522680596589724,0.0005062959472657,26,-1,0,0,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.0005062959472657,0.0005062959472657,9.450458151200558e-05,-0.0004117913657536945,0.1866587754106796,0
prefill,L0_SwiGLU_s1,SwiGLU,GPU0,npu,NAIVE,1.410955323028959,1.411461618976225,0.0005062959472657,27,-1,0,1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.0005062959472657,0.0005062959472657,9.450458151200558e-05,-0.0004117913657536945,0.1866587754106796,0
prefill,L0_FFN_W2_s0,FFN_W2,PIM0,pim,NAIVE,1.3907270546242716,1.768598373941524,0.3778713193172525,28,-1,0,0,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.3778713193172525,0.3778713193172525,0.01174110803563589,-0.3661302112816166,0.031071709958961753,0
prefill,L0_FFN_W2_s1,FFN_W2,PIM1,pim,NAIVE,1.4316348473809126,1.809506166698165,0.3778713193172525,29,-1,0,1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.3778713193172525,0.3778713193172525,0.011741108035635887,-0.3661302112816166,0.031071709958961743,0
prefill,L0_AllReduce_FFN,ALLREDUCE,COMM,comm,COMM,1.809506166698165,1.817806947948165,0.00830078125,30,-1,0,-1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.00830078125,0.00830078125,0.00830078125,0.0,1.0,0
prefill,L0_Add2,Add,GPU0,npu,NAIVE,1.8366869325814985,1.8370668435189983,0.0003799109375,31,-1,0,-1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.0003799109375,0.0003799109375,7.091371035887322e-05,-0.0003089972271411268,0.18665877541067957,0
prefill,L1_LN,LN,GPU0,npu,NAIVE,1.8370668435189983,1.8373814841439984,0.000314640625,32,-1,1,-1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.000314640625,0.000314640625,5.873043375696343e-05,-0.0002559101912430365,0.18665877541071954,0
prefill,L1_Q_s0,Q,PIM0,pim,NAIVE,1.8523944517939988,1.9982929348887903,0.1458984830947916,33,-1,1,0,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.1458984830947916,0.1458984830947916,0.004533315350173847,-0.14136516774461774,0.03107170995896174,0
prefill,L1_K_s0,K,PIM0,pim,NAIVE,1.9982929348887903,2.144191417983582,0.1458984830947918,34,-1,1,0,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.1458984830947918,0.1458984830947918,0.004533315350173853,-0.14136516774461796,0.031071709958961736,0
prefill,L1_V_s0,V,PIM0,pim,NAIVE,2.144191417983582,2.290089901078374,0.145898483094792,35,-1,1,0,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.145898483094792,0.145898483094792,0.00453331535017386,-0.14136516774461813,0.031071709958961743,0
prefill,L1_Q_s1,Q,PIM1,pim,NAIVE,1.8523944517939988,1.9982929348887903,0.1458984830947916,36,-1,1,1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.1458984830947916,0.1458984830947916,0.004533315350173846,-0.14136516774461774,0.031071709958961736,0
prefill,L1_K_s1,K,PIM1,pim,NAIVE,1.9982929348887903,2.144191417983582,0.1458984830947918,37,-1,1,1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.1458984830947918,0.1458984830947918,0.004533315350173853,-0.14136516774461796,0.031071709958961736,0
prefill,L1_V_s1,V,PIM1,pim,NAIVE,2.144191417983582,2.290089901078374,0.145898483094792,38,-1,1,1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.145898483094792,0.145898483094792,0.004533315350173859,-0.14136516774461813,0.031071709958961736,0
prefill,L1_K_write_s0,K_write,PIM0,pim,NAIVE,2.290089901078374,2.2902127810783743,0.0001228800000001,39,-1,1,0,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.0001228800000001,0.0001228800000001,0.0001228800000001,0.0,1.0,0
prefill,L1_QK_s0,QK,GPU0,npu,NAIVE,2.151719031808582,2.152159449103465,0.0004404172948833,40,-1,1,0,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.0004404172948833,0.0004404172948833,8.220775293261854e-05,-0.00035820954195068145,0.18665877541071954,0
prefill,L1_V_write_s0,V_write,PIM0,pim,NAIVE,2.2902127810783743,2.2903356610783745,0.0001228800000001,41,-1,1,0,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.0001228800000001,0.0001228800000001,0.0001228800000001,0.0,1.0,0
prefill,L1_K_write_s1,K_write,PIM1,pim,NAIVE,2.290089901078374,2.2902127810783743,0.0001228800000001,42,-1,1,1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.0001228800000001,0.0001228800000001,0.0001228800000001,0.0,1.0,0
prefill,L1_QK_s1,QK,GPU0,npu,NAIVE,2.152159449103465,2.1525998663983485,0.0004404172948833,43,-1,1,1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.0004404172948833,0.0004404172948833,8.220775293261854e-05,-0.00035820954195068145,0.18665877541071954,0
prefill,L1_V_write_s1,V_write,PIM1,pim,NAIVE,2.2902127810783743,2.2903356610783745,0.0001228800000001,44,-1,1,1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.0001228800000001,0.0001228800000001,0.0001228800000001,0.0,1.0,0
prefill,L1_Softmax_s0,Softmax,GPU0,npu,NAIVE,2.1525998663983485,2.1530886244855068,0.0004887580871582,45,-1,1,0,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.0004887580871582,0.0004887580871582,9.123098602103535e-05,-0.0003975271011371646,0.18665877541071957,0
prefill,L1_Softmax_s1,Softmax,GPU0,npu,NAIVE,2.1530886244855068,2.153577382572665,0.0004887580871582,46,-1,1,1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.0004887580871582,0.0004887580871582,9.123098602103535e-05,-0.0003975271011371646,0.18665877541071957,0
prefill,L1_SV_s0,SV,GPU0,npu,NAIVE,2.297617514903374,2.2980579321982573,0.0004404172948833,47,-1,1,0,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.0004404172948833,0.0004404172948833,8.220775293261854e-05,-0.00035820954195068145,0.18665877541071954,0
prefill,L1_SV_s1,SV,GPU0,npu,NAIVE,2.2980579321982573,2.2984983494931406,0.0004404172948833,48,-1,1,1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.0004404172948833,0.0004404172948833,8.220775293261854e-05,-0.00035820954195068145,0.18665877541071954,0
prefill,L1_O_s0,O,PIM0,pim,NAIVE,2.305565066023257,2.439470461118049,0.1339053950947919,49,-1,1,0,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.1339053950947919,0.1339053950947919,0.004160669598325552,-0.12974472549646635,0.03107170995896174,0
prefill,L1_O_s1,O,PIM1,pim,NAIVE,2.3060054833181405,2.4399108784129324,0.1339053950947919,50,-1,1,1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.1339053950947919,0.1339053950947919,0.004160669598325551,-0.12974472549646635,0.031071709958961732,0
prefill,L1_AllReduce_O,ALLREDUCE,COMM,comm,COMM,2.4399108784129324,2.4482116596629324,0.00830078125,51,-1,1,-1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.00830078125,0.00830078125,0.00830078125,0.0,1.0,0
prefill,L1_Add1,Add,GPU0,npu,NAIVE,2.467091644296266,2.467471555233766,0.0003799109374997,52,-1,1,-1,weights_on_pim_prefill-1024xdecode_512_ops_trace.csv,0.0003799109374997,0.0003799109374997,7.091371035883243e-05,-0.00030899722714086757,0.1866587754107196,0
