phase,node_id,op,device,device_type,mode,start,end,duration,_row,step,layer,shard,schedule,schedule_duration_s,schedule_duration_scaled_s,merged_duration_scaled_s,delta_scaled_s,ratio_scaled,missing_segments_row_scope
prefill,L0_LN,LN,NPU0,npu,NAIVE,0.0,2.384185791015625e-06,2.384185791015625e-06,0,-1,0,-1,facil_prefill-128xdecode_64_ops_trace.csv,2.384185791015625e-06,2.384185791015625e-06,7.583370453484636e-09,-2.3766024205621403e-06,0.0031806961026532425,0
prefill,L0_Q_s0,Q,NPU0,npu,NAIVE,2.384185791015625e-06,0.0006641018781608,0.0006617176923698,1,-1,0,0,facil_prefill-128xdecode_64_ops_trace.csv,0.0006617176923698,0.0006617176923698,2.10472288517732e-06,-0.0006596129694846226,0.003180696102653242,0
prefill,L0_K_s0,K,NPU0,npu,NAIVE,0.0006641018781608,0.0013258195705307,0.0006617176923698,2,-1,0,0,facil_prefill-128xdecode_64_ops_trace.csv,0.0006617176923698,0.0006617176923698,2.10472288517732e-06,-0.0006596129694846226,0.003180696102653242,0
prefill,L0_V_s0,V,NPU0,npu,NAIVE,0.0013258195705307,0.0019875372629006,0.0006617176923698,3,-1,0,0,facil_prefill-128xdecode_64_ops_trace.csv,0.0006617176923698,0.0006617176923698,2.10472288517732e-06,-0.0006596129694846226,0.003180696102653242,0
prefill,L0_Q_s1,Q,NPU0,npu,NAIVE,0.0019875372629006,0.0026492549552704,0.0006617176923698,4,-1,0,1,facil_prefill-128xdecode_64_ops_trace.csv,0.0006617176923698,0.0006617176923698,2.10472288517732e-06,-0.0006596129694846226,0.003180696102653242,0
prefill,L0_K_s1,K,NPU0,npu,NAIVE,0.0026492549552704,0.0033109726476403,0.0006617176923698,5,-1,0,1,facil_prefill-128xdecode_64_ops_trace.csv,0.0006617176923698,0.0006617176923698,2.10472288517732e-06,-0.0006596129694846226,0.003180696102653242,0
prefill,L0_V_s1,V,NPU0,npu,NAIVE,0.0033109726476403,0.0039726903400102,0.0006617176923698,6,-1,0,1,facil_prefill-128xdecode_64_ops_trace.csv,0.0006617176923698,0.0006617176923698,2.10472288517732e-06,-0.0006596129694846226,0.003180696102653242,0
prefill,L0_K_write_s0,K_write,PIM0,pim,NAIVE,0.0013564392339096,0.0013569192339096,4.799999999999683e-07,7,-1,0,0,facil_prefill-128xdecode_64_ops_trace.csv,4.799999999999683e-07,4.799999999999683e-07,4.799999999999683e-07,0.0,1.0,0
prefill,L0_QK_s0,QK,NPU0,npu,NAIVE,0.0039726903400102,0.0039735867379882,8.963979780673981e-07,8,-1,0,0,facil_prefill-128xdecode_64_ops_trace.csv,8.963979780673981e-07,8.963979780673981e-07,2.8511695552652193e-09,-8.935468085121328e-07,0.003180696102653242,0
prefill,L0_V_write_s0,V_write,PIM0,pim,NAIVE,0.0020181569262795,0.0020186369262795,4.800000000001851e-07,9,-1,0,0,facil_prefill-128xdecode_64_ops_trace.csv,4.800000000001851e-07,4.800000000001851e-07,4.800000000001851e-07,0.0,1.0,0
prefill,L0_K_write_s1,K_write,PIM1,pim,NAIVE,0.0033415923110192,0.0033420723110192,4.800000000001851e-07,10,-1,0,1,facil_prefill-128xdecode_64_ops_trace.csv,4.800000000001851e-07,4.800000000001851e-07,4.800000000001851e-07,0.0,1.0,0
prefill,L0_QK_s1,QK,NPU0,npu,NAIVE,0.0039735867379882,0.0039744831359663,8.963979780673981e-07,11,-1,0,1,facil_prefill-128xdecode_64_ops_trace.csv,8.963979780673981e-07,8.963979780673981e-07,2.8511695552652193e-09,-8.935468085121328e-07,0.003180696102653242,0
prefill,L0_V_write_s1,V_write,PIM1,pim,NAIVE,0.0040033100033891,0.0040037900033891,4.799999999997515e-07,12,-1,0,1,facil_prefill-128xdecode_64_ops_trace.csv,4.799999999997515e-07,4.799999999997515e-07,4.799999999997515e-07,0.0,1.0,0
prefill,L0_Softmax_s0,Softmax,NPU0,npu,NAIVE,0.0039744831359663,0.0039750838390269,6.007030606269836e-07,13,-1,0,0,facil_prefill-128xdecode_64_ops_trace.csv,6.007030606269836e-07,6.007030606269836e-07,1.910653883788121e-09,-5.987924067431956e-07,0.0031806961026532416,0
prefill,L0_Softmax_s1,Softmax,NPU0,npu,NAIVE,0.0039750838390269,0.0039756845420876,6.007030606269836e-07,14,-1,0,1,facil_prefill-128xdecode_64_ops_trace.csv,6.007030606269836e-07,6.007030606269836e-07,1.910653883788121e-09,-5.987924067431956e-07,0.0031806961026532416,0
prefill,L0_SV_s0,SV,NPU0,npu,NAIVE,0.0039756845420876,0.0039765809400656,8.963979780673981e-07,15,-1,0,0,facil_prefill-128xdecode_64_ops_trace.csv,8.963979780673981e-07,8.963979780673981e-07,2.8511695552652193e-09,-8.935468085121328e-07,0.003180696102653242,0
prefill,L0_SV_s1,SV,NPU0,npu,NAIVE,0.0039765809400656,0.0039774773380437,8.963979780673981e-07,16,-1,0,1,facil_prefill-128xdecode_64_ops_trace.csv,8.963979780673981e-07,8.963979780673981e-07,2.8511695552652193e-09,-8.935468085121328e-07,0.003180696102653242,0
prefill,L0_O_s0,O,NPU0,npu,NAIVE,0.0039774773380437,0.0046391648196028,0.0006616874815591,17,-1,0,0,facil_prefill-128xdecode_64_ops_trace.csv,0.0006616874815591,0.0006616874815591,2.1046267937694683e-06,-0.0006595828547653305,0.003180696102653242,0
prefill,L0_O_s1,O,NPU0,npu,NAIVE,0.0046391648196028,0.0053008523011619,0.0006616874815591,18,-1,0,1,facil_prefill-128xdecode_64_ops_trace.csv,0.0006616874815591,0.0006616874815591,2.1046267937694683e-06,-0.0006595828547653305,0.003180696102653242,0
prefill,L0_AllReduce_O,ALLREDUCE,COMM,comm,COMM,0.0053008523011619,0.0053008523011619,0.0,19,-1,0,-1,facil_prefill-128xdecode_64_ops_trace.csv,0.0,0.0,0.0,0.0,,0
prefill,L0_Add1,Add,NPU0,npu,NAIVE,0.0053008523011619,0.0053044285798484,3.576278686523437e-06,20,-1,0,-1,facil_prefill-128xdecode_64_ops_trace.csv,3.576278686523437e-06,3.576278686523437e-06,1.1375055680226953e-08,-3.56490363084321e-06,0.0031806961026532425,0
prefill,L0_LN2,LN,NPU0,npu,NAIVE,0.0053044285798484,0.0053068127656395,2.384185791015625e-06,21,-1,0,-1,facil_prefill-128xdecode_64_ops_trace.csv,2.384185791015625e-06,2.384185791015625e-06,7.583370453484636e-09,-2.3766024205621403e-06,0.0031806961026532425,0
prefill,L0_FFN_W1_s0,FFN_W1,NPU0,npu,NAIVE,0.0053068127656395,0.0070814690833018,0.0017746563176623,22,-1,0,0,facil_prefill-128xdecode_64_ops_trace.csv,0.0017746563176623,0.0017746563176623,5.644642433137431e-06,-0.0017690116752291625,0.003180696102653242,0
prefill,L0_FFN_W3_s0,FFN_W3,NPU0,npu,NAIVE,0.0070814690833018,0.0088561254009641,0.0017746563176623,23,-1,0,0,facil_prefill-128xdecode_64_ops_trace.csv,0.0017746563176623,0.0017746563176623,5.644642433137431e-06,-0.0017690116752291625,0.003180696102653242,0
prefill,L0_FFN_W1_s1,FFN_W1,NPU0,npu,NAIVE,0.0088561254009641,0.0106307817186264,0.0017746563176623,24,-1,0,1,facil_prefill-128xdecode_64_ops_trace.csv,0.0017746563176623,0.0017746563176623,5.644642433137431e-06,-0.0017690116752291625,0.003180696102653242,0
prefill,L0_FFN_W3_s1,FFN_W3,NPU0,npu,NAIVE,0.0106307817186264,0.0124054380362887,0.0017746563176623,25,-1,0,1,facil_prefill-128xdecode_64_ops_trace.csv,0.0017746563176623,0.0017746563176623,5.644642433137431e-06,-0.0017690116752291625,0.003180696102653242,0
prefill,L0_SwiGLU_s0,SwiGLU,NPU0,npu,NAIVE,0.0124054380362887,0.0124102436607737,4.805624485015869e-06,26,-1,0,0,facil_prefill-128xdecode_64_ops_trace.csv,4.805624485015869e-06,4.805624485015869e-06,1.5285231070304967e-08,-4.7903392539455646e-06,0.0031806961026532416,0
prefill,L0_SwiGLU_s1,SwiGLU,NPU0,npu,NAIVE,0.0124102436607737,0.0124150492852587,4.805624485015869e-06,27,-1,0,1,facil_prefill-128xdecode_64_ops_trace.csv,4.805624485015869e-06,4.805624485015869e-06,1.5285231070304967e-08,-4.7903392539455646e-06,0.0031806961026532416,0
prefill,L0_FFN_W2_s0,FFN_W2,NPU0,npu,NAIVE,0.0124150492852587,0.0141883548369018,0.0017733055516431,28,-1,0,0,facil_prefill-128xdecode_64_ops_trace.csv,0.0017733055516431,0.0017733055516431,5.640346056924566e-06,-0.0017676652055861755,0.0031806961026532425,0
prefill,L0_FFN_W2_s1,FFN_W2,NPU0,npu,NAIVE,0.0141883548369018,0.0159616603885449,0.0017733055516431,29,-1,0,1,facil_prefill-128xdecode_64_ops_trace.csv,0.0017733055516431,0.0017733055516431,5.640346056924566e-06,-0.0017676652055861755,0.0031806961026532425,0
prefill,L0_AllReduce_FFN,ALLREDUCE,COMM,comm,COMM,0.0159616603885449,0.0159616603885449,0.0,30,-1,0,-1,facil_prefill-128xdecode_64_ops_trace.csv,0.0,0.0,0.0,0.0,,0
prefill,L0_Add2,Add,NPU0,npu,NAIVE,0.0159616603885449,0.0159652366672315,3.576278686523437e-06,31,-1,0,-1,facil_prefill-128xdecode_64_ops_trace.csv,3.576278686523437e-06,3.576278686523437e-06,1.1375055680226953e-08,-3.56490363084321e-06,0.0031806961026532425,0
prefill,L1_LN,LN,NPU0,npu,NAIVE,0.0159652366672315,0.0159676208530225,2.384185791015625e-06,32,-1,1,-1,facil_prefill-128xdecode_64_ops_trace.csv,2.384185791015625e-06,2.384185791015625e-06,7.583370453484636e-09,-2.3766024205621403e-06,0.0031806961026532425,0
prefill,L1_Q_s0,Q,NPU0,npu,NAIVE,0.0159676208530225,0.0166293385453923,0.0006617176923698,33,-1,1,0,facil_prefill-128xdecode_64_ops_trace.csv,0.0006617176923698,0.0006617176923698,2.10472288517732e-06,-0.0006596129694846226,0.003180696102653242,0
prefill,L1_K_s0,K,NPU0,npu,NAIVE,0.0166293385453923,0.0172910562377622,0.0006617176923698,34,-1,1,0,facil_prefill-128xdecode_64_ops_trace.csv,0.0006617176923698,0.0006617176923698,2.10472288517732e-06,-0.0006596129694846226,0.003180696102653242,0
prefill,L1_V_s0,V,NPU0,npu,NAIVE,0.0172910562377622,0.0179527739301321,0.0006617176923698,35,-1,1,0,facil_prefill-128xdecode_64_ops_trace.csv,0.0006617176923698,0.0006617176923698,2.10472288517732e-06,-0.0006596129694846226,0.003180696102653242,0
prefill,L1_Q_s1,Q,NPU0,npu,NAIVE,0.0179527739301321,0.0186144916225019,0.0006617176923698,36,-1,1,1,facil_prefill-128xdecode_64_ops_trace.csv,0.0006617176923698,0.0006617176923698,2.10472288517732e-06,-0.0006596129694846226,0.003180696102653242,0
prefill,L1_K_s1,K,NPU0,npu,NAIVE,0.0186144916225019,0.0192762093148718,0.0006617176923698,37,-1,1,1,facil_prefill-128xdecode_64_ops_trace.csv,0.0006617176923698,0.0006617176923698,2.10472288517732e-06,-0.0006596129694846226,0.003180696102653242,0
prefill,L1_V_s1,V,NPU0,npu,NAIVE,0.0192762093148718,0.0199379270072417,0.0006617176923698,38,-1,1,1,facil_prefill-128xdecode_64_ops_trace.csv,0.0006617176923698,0.0006617176923698,2.10472288517732e-06,-0.0006596129694846226,0.003180696102653242,0
prefill,L1_K_write_s0,K_write,PIM0,pim,NAIVE,0.0173216759011411,0.0173221559011411,4.800000000006188e-07,39,-1,1,0,facil_prefill-128xdecode_64_ops_trace.csv,4.800000000006188e-07,4.800000000006188e-07,4.800000000006188e-07,0.0,1.0,0
prefill,L1_QK_s0,QK,NPU0,npu,NAIVE,0.0199379270072417,0.0199388234052198,8.963979780673981e-07,40,-1,1,0,facil_prefill-128xdecode_64_ops_trace.csv,8.963979780673981e-07,8.963979780673981e-07,2.8511695552652193e-09,-8.935468085121328e-07,0.003180696102653242,0
prefill,L1_V_write_s0,V_write,PIM0,pim,NAIVE,0.017983393593511,0.017983873593511,4.800000000006188e-07,41,-1,1,0,facil_prefill-128xdecode_64_ops_trace.csv,4.800000000006188e-07,4.800000000006188e-07,4.800000000006188e-07,0.0,1.0,0
prefill,L1_K_write_s1,K_write,PIM1,pim,NAIVE,0.0193068289782507,0.0193073089782507,4.800000000006188e-07,42,-1,1,1,facil_prefill-128xdecode_64_ops_trace.csv,4.800000000006188e-07,4.800000000006188e-07,4.800000000006188e-07,0.0,1.0,0
prefill,L1_QK_s1,QK,NPU0,npu,NAIVE,0.0199388234052198,0.0199397198031978,8.963979780673981e-07,43,-1,1,1,facil_prefill-128xdecode_64_ops_trace.csv,8.963979780673981e-07,8.963979780673981e-07,2.8511695552652193e-09,-8.935468085121328e-07,0.003180696102653242,0
prefill,L1_V_write_s1,V_write,PIM1,pim,NAIVE,0.0199685466706206,0.0199690266706206,4.800000000006188e-07,44,-1,1,1,facil_prefill-128xdecode_64_ops_trace.csv,4.800000000006188e-07,4.800000000006188e-07,4.800000000006188e-07,0.0,1.0,0
prefill,L1_Softmax_s0,Softmax,NPU0,npu,NAIVE,0.0199397198031978,0.0199403205062584,6.007030606269836e-07,45,-1,1,0,facil_prefill-128xdecode_64_ops_trace.csv,6.007030606269836e-07,6.007030606269836e-07,1.910653883788121e-09,-5.987924067431956e-07,0.0031806961026532416,0
prefill,L1_Softmax_s1,Softmax,NPU0,npu,NAIVE,0.0199403205062584,0.0199409212093191,6.007030606269836e-07,46,-1,1,1,facil_prefill-128xdecode_64_ops_trace.csv,6.007030606269836e-07,6.007030606269836e-07,1.910653883788121e-09,-5.987924067431956e-07,0.0031806961026532416,0
prefill,L1_SV_s0,SV,NPU0,npu,NAIVE,0.0199409212093191,0.0199418176072971,8.963979780673981e-07,47,-1,1,0,facil_prefill-128xdecode_64_ops_trace.csv,8.963979780673981e-07,8.963979780673981e-07,2.8511695552652193e-09,-8.935468085121328e-07,0.003180696102653242,0
prefill,L1_SV_s1,SV,NPU0,npu,NAIVE,0.0199418176072971,0.0199427140052752,8.963979780673981e-07,48,-1,1,1,facil_prefill-128xdecode_64_ops_trace.csv,8.963979780673981e-07,8.963979780673981e-07,2.8511695552652193e-09,-8.935468085121328e-07,0.003180696102653242,0
