phase,node_id,op,device,device_type,mode,start,end,duration,_row,step,layer,shard,schedule,schedule_duration_s,schedule_duration_scaled_s,merged_duration_scaled_s,delta_scaled_s,ratio_scaled,missing_segments_row_scope
prefill,L0_LN,LN,NPU0,npu,NPU,0.0,2.384185791015625e-06,2.384185791015625e-06,0,-1,0,-1,heft_prefill-128xdecode_64_ops_trace.csv,2.384185791015625e-06,2.384185791015625e-06,6.99969696226739e-09,-2.3771860940533576e-06,0.0029358856967625965,0
prefill,L0_Q_s0,Q,NPU0,npu,NPU,2.384185791015625e-06,0.0006641018781608,0.0006617176923698,1,-1,0,0,heft_prefill-128xdecode_64_ops_trace.csv,0.0006617176923698,0.0006617176923698,1.9427275083232476e-06,-0.0006597749648614768,0.0029358856967625965,0
prefill,L0_Q_s1,Q,NPU0,npu,NPU,0.0006641018781608,0.0013258195705307,0.0006617176923698,2,-1,0,1,heft_prefill-128xdecode_64_ops_trace.csv,0.0006617176923698,0.0006617176923698,1.9427275083232476e-06,-0.0006597749648614768,0.0029358856967625965,0
prefill,L0_K_s0,K,PIM0,pim,PIM,6.232351254882812e-05,0.0014308866073404,0.0013685630947916,3,-1,0,0,heft_prefill-128xdecode_64_ops_trace.csv,0.0013685630947916,0.0013685630947916,0.0006411558405701814,-0.0007274072542214187,0.46848833130913436,0
prefill,L0_K_s1,K,PIM1,pim,PIM,6.232351254882812e-05,0.0014308866073404,0.0013685630947916,4,-1,0,1,heft_prefill-128xdecode_64_ops_trace.csv,0.0013685630947916,0.0013685630947916,0.0005925066861921719,-0.0007760564085994282,0.43294071603063117,0
prefill,L0_V_s0,V,NPU0,npu,NPU,0.0013258195705307,0.0019875372629006,0.0006617176923698,5,-1,0,0,heft_prefill-128xdecode_64_ops_trace.csv,0.0006617176923698,0.0006617176923698,1.9427275083232476e-06,-0.0006597749648614768,0.0029358856967625965,0
prefill,L0_V_s1,V,NPU0,npu,NPU,0.0019875372629006,0.0026492549552704,0.0006617176923698,6,-1,0,1,heft_prefill-128xdecode_64_ops_trace.csv,0.0006617176923698,0.0006617176923698,1.9427275083232476e-06,-0.0006597749648614768,0.0029358856967625965,0
prefill,L0_QK_s0,QK,PIM0,pim,PIM,0.0014308866073404,0.0016623106073404,0.000231424,7,-1,0,0,heft_prefill-128xdecode_64_ops_trace.csv,0.000231424,0.000231424,0.00010841944358488513,-0.0001230045564151149,0.4684883313091344,0
prefill,L0_QK_s1,QK,PIM1,pim,PIM,0.0014308866073404,0.0016623106073404,0.000231424,8,-1,0,1,heft_prefill-128xdecode_64_ops_trace.csv,0.000231424,0.000231424,0.00010019287226667277,-0.00013123112773332724,0.43294071603063106,0
prefill,L0_Softmax_s0,Softmax,PIM0,pim,PIM,0.0016623106073404,0.0017256706073404,6.335999999999994e-05,9,-1,0,0,heft_prefill-128xdecode_64_ops_trace.csv,6.335999999999994e-05,6.335999999999994e-05,2.968342067174673e-05,-3.367657932825321e-05,0.4684883313091345,0
