phase,node_id,op,device,device_type,mode,start,end,duration,_row,step,layer,shard,schedule,schedule_duration_s,schedule_duration_scaled_s,merged_duration_scaled_s,delta_scaled_s,ratio_scaled,missing_segments_row_scope
prefill,L0_LN,LN,NPU0,npu,NAIVE,0.0,2.384185791015625e-06,2.384185791015625e-06,0,-1,0,-1,weights_on_pim_prefill-128xdecode_64_ops_trace.csv,2.384185791015625e-06,2.384185791015625e-06,7.190732358708609e-07,-1.6651125551447641e-06,0.3016011749506095,0
prefill,L0_Q_s0,Q,PIM0,pim,NAIVE,6.232351254882812e-05,0.0014308866073404,0.0013685630947916,1,-1,0,0,weights_on_pim_prefill-128xdecode_64_ops_trace.csv,0.0013685630947916,0.0013685630947916,0.0005543136514434132,-0.0008142494433481869,0.4050333181955503,0
prefill,L0_K_s0,K,PIM0,pim,NAIVE,0.0014308866073404,0.0027994497021321,0.0013685630947916,2,-1,0,0,weights_on_pim_prefill-128xdecode_64_ops_trace.csv,0.0013685630947916,0.0013685630947916,0.0005543136514434132,-0.0008142494433481869,0.4050333181955503,0
prefill,L0_V_s0,V,PIM0,pim,NAIVE,0.0027994497021321,0.0041680127969238,0.0013685630947916,3,-1,0,0,weights_on_pim_prefill-128xdecode_64_ops_trace.csv,0.0013685630947916,0.0013685630947916,0.0005543136514434132,-0.0008142494433481869,0.4050333181955503,0
prefill,L0_Q_s1,Q,PIM1,pim,NAIVE,6.232351254882812e-05,0.0014308866073404,0.0013685630947916,4,-1,0,1,weights_on_pim_prefill-128xdecode_64_ops_trace.csv,0.0013685630947916,0.0013685630947916,0.000554313651443413,-0.0008142494433481871,0.4050333181955501,0
prefill,L0_K_s1,K,PIM1,pim,NAIVE,0.0014308866073404,0.0027994497021321,0.0013685630947916,5,-1,0,1,weights_on_pim_prefill-128xdecode_64_ops_trace.csv,0.0013685630947916,0.0013685630947916,0.000554313651443413,-0.0008142494433481871,0.4050333181955501,0
prefill,L0_V_s1,V,PIM1,pim,NAIVE,0.0027994497021321,0.0041680127969238,0.0013685630947916,6,-1,0,1,weights_on_pim_prefill-128xdecode_64_ops_trace.csv,0.0013685630947916,0.0013685630947916,0.000554313651443413,-0.0008142494433481871,0.4050333181955501,0
prefill,L0_K_write_s0,K_write,PIM0,pim,NAIVE,0.0041680127969238,0.0041684927969238,4.799999999997515e-07,7,-1,0,0,weights_on_pim_prefill-128xdecode_64_ops_trace.csv,4.799999999997515e-07,4.799999999997515e-07,4.799999999997515e-07,0.0,1.0,0
prefill,L0_QK_s0,QK,NPU0,npu,NAIVE,0.002830149365511,0.0028310457634891,8.963979780673981e-07,8,-1,0,0,weights_on_pim_prefill-128xdecode_64_ops_trace.csv,8.963979780673981e-07,8.963979780673981e-07,2.7035468340847796e-07,-6.260432946589201e-07,0.3016011749506095,0
prefill,L0_V_write_s0,V_write,PIM0,pim,NAIVE,0.0041684927969238,0.0041689727969238,4.799999999997515e-07,9,-1,0,0,weights_on_pim_prefill-128xdecode_64_ops_trace.csv,4.799999999997515e-07,4.799999999997515e-07,4.799999999997515e-07,0.0,1.0,0
prefill,L0_K_write_s1,K_write,PIM1,pim,NAIVE,0.0041680127969238,0.0041684927969238,4.799999999997515e-07,10,-1,0,1,weights_on_pim_prefill-128xdecode_64_ops_trace.csv,4.799999999997515e-07,4.799999999997515e-07,4.799999999997515e-07,0.0,1.0,0
prefill,L0_QK_s1,QK,NPU0,npu,NAIVE,0.0028310457634891,0.0028319421614672,8.963979780673981e-07,11,-1,0,1,weights_on_pim_prefill-128xdecode_64_ops_trace.csv,8.963979780673981e-07,8.963979780673981e-07,2.7035468340847796e-07,-6.260432946589201e-07,0.3016011749506095,0
prefill,L0_V_write_s1,V_write,PIM1,pim,NAIVE,0.0041684927969238,0.0041689727969238,4.799999999997515e-07,12,-1,0,1,weights_on_pim_prefill-128xdecode_64_ops_trace.csv,4.799999999997515e-07,4.799999999997515e-07,4.799999999997515e-07,0.0,1.0,0
